Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
George Washington MEM PKWY,,,,,"1,340,596","1,269,546",,,"-71,050","2,649,137",,"2,537,427",,"-111,710",
Gettysburg NMP,,,,,"1,029","1,029",,,0,"2,058",,"2,058",,0,
Glacier Bay NP & PRES,,,,,"4,320","4,320",,,0,"4,320",,"4,320",,0,
Glacier NP,,,,,16,8,,,-8,48,,12,,-36,
Glen Canyon NRA,,,,,"23,208","18,320",,,"-4,888","36,213",,"37,870",,"1,657",
Golden Spike NHP,,,,,500,500,,,0,"1,000",,"1,000",,0,
Grand Canyon NP,,,,,598,303,,,-295,"2,443",,"3,477",,"1,034",
Grand Teton NP,,,,,"125,191","125,211",,,20,"248,542",,"229,361",,"-19,181",
Great Basin NP,,,,,50,125,,,75,100,,300,,200,
Great Sand Dunes NP & PRES,,,,,35,35,,,0,70,,70,,0,
Great Smoky Mountains NP,,,,,"350,500","350,500",,,0,"693,500",,"693,500",,0,
Guadalupe Mountains NP,,,,,120,120,,,0,240,,240,,0,
Guilford Courthouse NMP,,,,,"1,193","1,186",,,-7,"2,370",,"2,343",,-27,
Gulf Islands NS,,,,,"4,206","4,596",,,390,"7,882",,"6,972",,-910,
Haleakala NP,,,,,"1,680","1,680",,,0,"3,360",,"3,360",,0,
Hamilton Grange NMEM,,,,,0,20,,,20,0,,20,,20,
Hampton NHS,,,,,50,50,,,0,100,,100,,0,
Hawaii Volcanoes NP,,,,,"48,188","48,911",,,723,"96,510",,"98,057",,"1,547",
Herbert Hoover NHS,,,,,15,0,,,-15,18,,3,,-15,
Homestead NHP,,,,,"3,709","3,822",,,113,"7,450",,"7,644",,194,
Hopewell Furnace NHS,,,,,25,25,,,0,50,,50,,0,
Hot Springs NP,,,,,"14,178","14,074",,,-104,"28,258",,"28,179",,-79,
Hovenweep NM,,,,,5,5,,,0,10,,10,,0,
Hubbell Trading Post NHS,,,,,88,88,,,0,176,,176,,0,
Indiana Dunes NP,,,,,151,151,,,0,318,,318,,0,
Isle Royale NP,,,,,0,0,,,0,"2,184",,0,,"-2,184",
Jean Lafitte NHP & PRES,,,,,"7,080","7,080",,,0,"14,160",,"14,160",,0,
"John D. Rockefeller, Jr. MEM PKWY",,,,,25,25,,,0,50,,50,,0,
John Day Fossil Beds NM,,,,,7,7,,,0,14,,14,,0,
John Muir NHS,,,,,0,0,,,0,27,,0,,-27,
Joshua Tree NP,,,,,"1,004","1,019",,,15,"1,882",,"1,992",,110,
Kennesaw Mountain NBP,,,,,"430,812","431,052",,,240,"910,752",,"911,692",,940,
Keweenaw NHP,,,,,72,24,,,-48,157,,39,,-118,
Kings Canyon NP,,,,,"4,036","3,920",,,-116,"7,648",,"7,056",,-592,
Kings Mountain NMP,,,,,"2,475","1,862",,,-613,"4,128",,"3,984",,-144,
Knife River Indian Villages NHS,,,,,26,7,,,-19,38,,18,,-20,
Kobuk Valley NP,,,,,"12,800","12,240",,,-560,"30,400",,"29,448",,-952,
Lake Mead NRA,,,,,"97,569","85,785",,,"-11,784","186,604",,"167,254",,"-19,350",
Lake Roosevelt NRA,,,,,50,50,,,0,100,,100,,0,
Lava Beds NM,,,,,32,33,,,1,64,,66,,2,
Lewis & Clark NHP,,,,,4,5,,,1,5,,6,,1,
Lincoln Boyhood NMEM,,,,,225,225,,,0,450,,450,,0,
Lincoln Home NHS,,,,,80,100,,,20,80,,100,,20,
Little Bighorn Battlefield NM,,,,,3,1,,,-2,6,,2,,-4,
Lowell NHP,,,,,9,6,,,-3,47,,11,,-36,
Mammoth Cave NP,,,,,"4,766","3,628",,,"-1,138","8,534",,"7,646",,-888,
Manassas NBP,,,,,7,7,,,0,14,,14,,0,
Mesa Verde NP,,,,,186,168,,,-18,374,,326,,-48,
Monocacy NB,,,,,10,10,,,0,20,,20,,0,
Mount Rushmore NMEM,,,,,"3,483","2,969",,,-514,"5,522",,"5,104",,-418,
Natchez Trace PKWY,,,,,"844,222","789,264",,,"-54,958","1,545,473",,"1,532,003",,"-13,470",
National Capital Parks East,,,,,"1,565,052","1,515,249",,,"-49,803","3,248,916",,"3,194,429",,"-54,487",
Natural Bridges NM,,,,,30,0,,,-30,60,,0,,-60,
Navajo NM,,,,,20,11,,,-9,40,,-17,,-57,
New River Gorge NP & PRES,,,,,400,406,,,6,800,,812,,12,
Nez Perce NHP,,,,,15,15,,,0,30,,30,,0,
Noatak NPRES,,,,,"12,400","11,800",,,-600,"24,400",,"23,040",,"-1,360",
Obed W&SR,,,,,75,75,,,0,150,,150,,0,
Olympic NP,,,,,"21,038","22,197",,,"1,159","42,781",,"43,938",,"1,157",
Oregon Caves NM & PRES,,,,,80,80,,,0,160,,160,,0,
Organ Pipe Cactus NM,,,,,"12,144","9,292",,,"-2,852","28,570",,"15,913",,"-12,657",
Padre Island NS,,,,,"1,200","1,200",,,0,"2,400",,"2,400",,0,
Petersburg NB,,,,,"7,274","1,267",,,"-6,007","14,337",,"2,562",,"-11,775",
