Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Prince William Forest Park,,,,,"81,908","134,192",,,"52,284","146,004",,"257,316",,"111,312",
Pullman NHP,,,,,702,577,,,-125,"1,128",,"1,099",,-29,
Pu'uhonua o Honaunau NHP,,,,,"46,705","34,110",,,"-12,595","84,839",,"65,869",,"-18,970",
Pu'ukohola Heiau NHS,,,,,"1,516","1,432",,,-84,"2,493",,"2,721",,228,
Rainbow Bridge NM,,,,,3,90,,,87,3,,196,,193,
Reconstruction Era NHP,,,,,844,"1,265",,,421,"1,279",,"1,684",,405,
Redwood NP,,,,,"77,067","148,964",,,"71,897","145,090",,"322,040",,"176,950",
Richmond NBP,,,,,"18,221","16,267",,,"-1,954","35,342",,"33,395",,"-1,947",
Rio Grande W&SR,,,,,"1,692","4,290",,,"2,598","1,692",,"5,790",,"4,098",
River Raisin NBP,,,,,"36,546","18,576",,,"-17,970","71,504",,"39,358",,"-32,146",
Rock Creek Park,,,,,"115,887","131,774",,,"15,887","239,656",,"282,549",,"42,893",
Rocky Mountain NP,,,,,"639,221","613,086",,,"-26,135","1,309,562",,"1,198,470",,"-111,092",
Roger Williams NMEM,,,,,771,632,,,-139,"1,157",,"1,268",,111,
Rosie The Riveter WWII Home Front NHP,,,,,"7,818","8,103",,,285,"14,979",,"15,948",,969,
Ross Lake NRA,,,,,"8,228","10,392",,,"2,164","15,399",,"18,055",,"2,656",
Russell Cave NM,,,,,"1,056",282,,,-774,"1,995",,"1,330",,-665,
Sagamore Hill NHS,,,,,"18,600","20,578",,,"1,978","30,488",,"35,383",,"4,895",
Saguaro NP,,,,,"219,030","186,680",,,"-32,350","391,687",,"386,438",,"-5,249",
Saint Croix NSR,,,,,"19,728","18,752",,,-976,"23,068",,"22,372",,-696,
Saint Paul's Church NHS,,,,,"1,729","1,293",,,-436,"3,718",,"2,505",,"-1,213",
Saint-Gaudens NHP,,,,,550,225,,,-325,"1,000",,494,,-506,
Salem Maritime NHS,,,,,"3,556","3,181",,,-375,"6,482",,"6,604",,122,
Salinas Pueblo Missions NM,,,,,"6,000","4,395",,,"-1,605","10,558",,"8,478",,"-2,080",
Salt River Bay NHP & EPRES,,,,,"3,671","4,409",,,738,"8,149",,"8,416",,267,
San Antonio Missions NHP,,,,,"97,959","133,759",,,"35,800","226,402",,"446,673",,"220,271",
San Francisco Maritime NHP,,,,,"120,864","169,887",,,"49,023","254,307",,"356,895",,"102,588",
San Juan Island NHP,,,,,"19,716","18,203",,,"-1,513","31,292",,"50,202",,"18,910",
San Juan NHS,,,,,"233,359","249,913",,,"16,554","466,669",,"498,572",,"31,903",
Sand Creek Massacre NHS,,,,,278,250,,,-28,444,,400,,-44,
Santa Monica Mountains NRA,,,,,"58,580","86,754",,,"28,174","141,830",,"168,550",,"26,720",
Saratoga NHP,,,,,"6,112","9,488",,,"3,376","9,245",,"19,436",,"10,191",
Saugus Iron Works NHS,,,,,"1,347","1,163",,,-184,"2,629",,"2,879",,250,
Scotts Bluff NM,,,,,"10,482","7,348",,,"-3,134","18,503",,"14,526",,"-3,977",
Sequoia NP,,,,,"183,601","193,412",,,"9,811","414,420",,"442,268",,"27,848",
Shenandoah NP,,,,,"99,756","34,080",,,"-65,676","159,238",,"61,025",,"-98,213",
Shiloh NMP,,,,,"35,875","39,524",,,"3,649","60,753",,"66,786",,"6,033",
Sitka NHP,,,,,"1,226","1,260",,,34,"2,557",,"2,426",,-131,
Sleeping Bear Dunes NL,,,,,"55,713","42,515",,,"-13,198","99,031",,"79,512",,"-19,519",
Springfield Armory NHS,,,,,"1,753","1,551",,,-202,"3,115",,"3,047",,-68,
Statue of Liberty NM,,,,,"623,678","540,558",,,"-83,120","1,205,460",,"1,185,714",,"-19,746",
Ste. Genevieve NHP,,,,,402,186,,,-216,511,,293,,-218,
Steamtown NHS,,,,,"2,238","2,258",,,20,"3,750",,"4,205",,455,
Stones River NB,,,,,"37,825","26,776",,,"-11,049","57,897",,"68,099",,"10,202",
Stonewall NM,,,,,"2,114","1,076",,,"-1,038","4,555",,"5,531",,976,
Sunset Crater Volcano NM,,,,,"3,972",0,,,"-3,972","7,203",,0,,"-7,203",
Tallgrass Prairie NPRES,,,,,"2,162",764,,,"-1,398","2,936",,"1,286",,"-1,650",
Thaddeus Kosciuszko NMEM,,,,,21,0,,,-21,21,,0,,-21,
Theodore Roosevelt Birthplace NHS,,,,,"2,275","2,857",,,582,"4,303",,"6,164",,"1,861",
Theodore Roosevelt Inaugural NHS,,,,,"2,318","2,132",,,-186,"3,228",,"3,493",,265,
Theodore Roosevelt Island,,,,,"24,859","14,870",,,"-9,989","41,917",,"35,416",,"-6,501",
Theodore Roosevelt NP,,,,,"12,771","9,943",,,"-2,828","17,130",,"14,437",,"-2,693",
Thomas Edison NHP,,,,,0,140,,,140,0,,140,,140,
Thomas Jefferson MEM,,,,,"74,330","59,594",,,"-14,736","114,689",,"92,327",,"-22,362",
Thomas Stone NHS,,,,,72,74,,,2,150,,152,,2,
Timpanogos Cave NM,,,,,295,378,,,83,512,,911,,399,
Timucuan EHP,,,,,"125,357","125,357",,,0,"279,517",,"268,052",,"-11,465",
Tonto NM,,,,,"7,104","7,364",,,260,"12,558",,"13,043",,485,
Tule Lake NM,,,,,0,1,,,1,0,,2,,2,
Tule Springs Fossil Beds NM,,,,,"13,204","9,170",,,"-4,034","26,408",,"13,919",,"-12,489",
Tumacacori NHP,,,,,"6,818","7,320",,,502,"12,086",,"13,044",,958,
Tuskegee Airmen NHS,,,,,"4,125","3,789",,,-336,"6,066",,"5,861",,-205,
Tuskegee Institute NHS,,,,,825,506,,,-319,"1,213",,583,,-630,
Tuzigoot NM,,,,,"8,954","9,628",,,674,"15,936",,"13,956",,"-1,980",
Ulysses S. Grant NHS,,,,,"2,482","2,829",,,347,"4,078",,"4,763",,685,
Upper Delaware S&RR,,,,,"7,016","5,004",,,"-2,012","12,139",,"9,631",,"-2,508",
Valles Caldera NPRES,,,,,"6,937","7,402",,,465,"14,291",,"13,762",,-529,
Valley Forge NHP,,,,,"180,551","130,511",,,"-50,040","298,957",,"224,813",,"-74,144",
Vanderbilt Mansion NHS,,,,,"23,916","15,983",,,"-7,933","27,593",,"29,473",,"1,880",
Vicksburg NMP,,,,,"66,951","85,986",,,"19,035","82,310",,"125,684",,"43,374",
Vietnam Veterans MEM,,,,,"114,012","87,529",,,"-26,483","194,987",,"164,214",,"-30,773",
Virgin Islands NP,,,,,"250,501","285,386",,,"34,885","530,982",,"359,746",,"-171,236",
Voyageurs NP,,,,,"2,526","32,834",,,"30,308","5,573",,"42,698",,"37,125",
Waco Mammoth NM,,,,,"7,406","7,153",,,-253,"12,930",,"12,692",,-238,
Walnut Canyon NM,,,,,"18,929","13,248",,,"-5,681","27,310",,"23,156",,"-4,154",
War in the Pacific NHP,,,,,"18,873","32,114",,,"13,241","38,916",,"64,431",,"25,515",
Washington Monument,,,,,"22,312","9,679",,,"-12,633","43,616",,"16,411",,"-27,205",
Washita Battlefield NHS,,,,,"1,669",837,,,-832,"2,531",,"1,608",,-923,
Weir Farm NHP,,,,,"1,095",775,,,-320,"2,135",,"1,700",,-435,
Whiskeytown NRA,,,,,"74,046","92,807",,,"18,761","137,717",,"172,778",,"35,061",
White House,,,,,"13,876","13,876",,,0,"25,375",,"17,926",,"-7,449",
White Sands NP,,,,,"89,849","89,744",,,-105,"168,707",,"173,992",,"5,285",
Whitman Mission NHS,,,,,"2,675","2,401",,,-274,"4,882",,"5,864",,982,
William Howard Taft NHS,,,,,"1,216",813,,,-403,"1,969",,"1,414",,-555,
Wilson's Creek NB,,,,,"57,470","41,683",,,"-15,787","83,163",,"78,366",,"-4,797",
Wind Cave NP,,,,,"21,151","17,522",,,"-3,629","39,497",,"35,368",,"-4,129",
Wolf Trap NP for the Performing Arts,,,,,"16,164","10,304",,,"-5,860","27,096",,"18,032",,"-9,064",
Women's Rights NHP,,,,,451,404,,,-47,906,,603,,-303,
World War I MEM,,,,,"23,550","17,002",,,"-6,548","41,125",,"30,658",,"-10,467",
World War II MEM,,,,,"112,021","80,917",,,"-31,104","195,648",,"145,909",,"-49,739",
Wrangell-St. Elias NP & PRES,,,,,"4,370","4,370",,,0,"5,520",,"5,520",,0,
Wright Brothers NMEM,,,,,"9,292","6,668",,,"-2,624","16,816",,"8,371",,"-8,445",
Wupatki NM,,,,,"31,378","19,243",,,"-12,135","55,561",,"32,736",,"-22,825",
Yellowstone NP,,,,,"814,982","652,258",,,"-162,724","1,527,835",,"1,369,323",,"-158,512",
Yosemite NP,,,,,"1,601,065","1,705,169",,,"104,104","3,107,056",,"3,161,123",,"54,067",
Zion NP,,,,,"940,918","1,010,753",,,"69,835","1,699,271",,"1,860,645",,"161,374",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
