Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Chesapeake & Ohio Canal NHP,,,,,"473,120","478,935",,,"5,815","903,230",,"941,683",,"38,453",
Chickamauga & Chattanooga NMP,,,,,"139,758","136,336",,,"-3,422","262,659",,"261,544",,"-1,115",
Chickasaw NRA,,,,,"232,790","184,817",,,"-47,973","399,225",,"334,832",,"-64,393",
Chiricahua NM,,,,,"39,886","44,291",,,"4,405","73,042",,"79,003",,"5,961",
Christiansted NHS,,,,,"5,646","4,668",,,-978,"12,079",,"10,871",,"-1,208",
City of Rocks NRES,,,,,"4,126","3,391",,,-735,"7,620",,"7,595",,-25,
Clara Barton NHS,,,,,"1,570",565,,,"-1,005","1,966",,"1,492",,-474,
Colonial NHP,,,,,"120,816","55,343",,,"-65,473","230,797",,"141,835",,"-88,962",
Colorado NM,,,,,"65,749","64,027",,,"-1,722","125,745",,"123,940",,"-1,805",
Congaree NP,,,,,"68,200","74,014",,,"5,814","119,383",,"132,542",,"13,159",
Coronado NMEM,,,,,"15,457","15,970",,,513,"29,606",,"30,070",,464,
Cowpens NB,,,,,"9,776","11,836",,,"2,060","23,275",,"25,564",,"2,289",
Crater Lake NP,,,,,"19,704","11,491",,,"-8,213","36,631",,"30,285",,"-6,346",
Craters of the Moon NM & PRES,,,,,"10,080","9,851",,,-229,"14,472",,"15,183",,711,
Cumberland Gap NHP,,,,,"63,130","55,081",,,"-8,049","96,332",,"87,937",,"-8,395",
Cumberland Island NS,,,,,"74,625","72,232",,,"-2,393","118,643",,"125,114",,"6,471",
Curecanti NRA,,,,,"46,140","61,769",,,"15,629","72,075",,"115,679",,"43,604",
Cuyahoga Valley NP,,,,,"255,168","328,313",,,"73,145","451,256",,"727,113",,"275,857",
Dayton Aviation Heritage NHP,,,,,"3,879","2,814",,,"-1,065","6,329",,"5,145",,"-1,184",
De Soto NMEM,,,,,"43,755","11,299",,,"-32,456","70,607",,"11,299",,"-59,308",
Death Valley NP,,,,,"1,034,903","1,030,988",,,"-3,915","1,775,634",,"2,021,800",,"246,166",
Delaware Water Gap NRA,,,,,"823,611","822,731",,,-880,"1,578,884",,"1,577,584",,"-1,300",
Denali NP & PRES,,,,,"40,876","36,082",,,"-4,794","64,104",,"60,504",,"-3,600",
Devils Tower NM,,,,,"10,549","6,975",,,"-3,574","18,083",,"13,967",,"-4,116",
Dinosaur NM,,,,,"7,420","15,617",,,"8,197","13,674",,"17,882",,"4,208",
Dry Tortugas NP,,,,,"51,367","53,020",,,"1,653","106,923",,"103,305",,"-3,618",
Dwight D. Eisenhower MEM,,,,,"17,427","14,498",,,"-2,929","30,403",,"26,323",,"-4,080",
Edgar Allan Poe NHS,,,,,"1,049",0,,,"-1,049","1,695",,0,,"-1,695",
Effigy Mounds NM,,,,,"7,990","6,538",,,"-1,452","13,287",,"11,916",,"-1,371",
Eisenhower NHS,,,,,"5,904","1,498",,,"-4,406","10,619",,"2,629",,"-7,990",
El Malpais NM,,,,,"36,130","38,163",,,"2,033","62,350",,"68,284",,"5,934",
El Morro NM,,,,,"6,219","5,946",,,-273,"10,447",,"11,445",,998,
Eleanor Roosevelt NHS,,,,,652,185,,,-467,"1,031",,589,,-442,
Emmett Till and Mamie Till-Mobley NM,,,,,203,203,,,0,268,,268,,0,
Eugene O'Neill NHS,,,,,602,627,,,25,"1,324",,"1,583",,259,
Everglades NP,,,,,"413,449","2,243,207",,,"1,829,758","783,844",,"3,122,565",,"2,338,721",
Federal Hall NMEM,,,,,"3,327","3,490",,,163,"5,455",,"6,171",,716,
Fire Island NS,,,,,"16,230","11,056",,,"-5,174","21,463",,"23,569",,"2,106",
First Ladies NHS,,,,,"1,484",530,,,-954,"2,350",,934,,"-1,416",
First State NHP,,,,,"14,749","10,878",,,"-3,871","31,350",,"19,896",,"-11,454",
Flight 93 NMEM,,,,,"12,342","8,081",,,"-4,261","17,841",,"16,916",,-925,
Florissant Fossil Beds NM,,,,,"2,003","5,133",,,"3,130","2,901",,"6,611",,"3,710",
Ford's Theatre NHS,,,,,"29,834","23,954",,,"-5,880","44,134",,"39,981",,"-4,153",
Fort Bowie NHS,,,,,"2,352","2,477",,,125,"4,165",,"4,451",,286,
Fort Caroline NMEM,,,,,"29,767","29,767",,,0,"61,211",,"56,025",,"-5,186",
