Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Chickamauga & Chattanooga NMP,,,,,"70,790","68,827",,,"-1,963","132,510",,"130,851",,"-1,659",
Chickasaw NRA,,,,,"85,701","69,966",,,"-15,735","148,226",,"126,854",,"-21,372",
Chiricahua NM,,,,,"7,129","7,361",,,232,"12,775",,"12,881",,106,
Christiansted NHS,,,,,"11,504","8,268",,,"-3,236","24,754",,"21,002",,"-3,752",
City of Rocks NRES,,,,,"1,179",969,,,-210,"2,177",,"2,170",,-7,
Clara Barton NHS,,,,,"1,570",565,,,"-1,005","1,966",,"1,492",,-474,
Colonial NHP,,,,,"116,446","52,416",,,"-64,030","223,613",,"136,064",,"-87,549",
Colorado NM,,,,,"28,644","28,426",,,-218,"55,103",,"55,343",,240,
Congaree NP,,,,,"16,847","17,865",,,"1,018","30,421",,"32,994",,"2,573",
Coronado NMEM,,,,,"16,349","16,592",,,243,"32,042",,"31,333",,-709,
Cowpens NB,,,,,"13,385","13,430",,,45,"25,073",,"27,257",,"2,184",
Crater Lake NP,,,,,"5,304","3,060",,,"-2,244","9,963",,"8,018",,"-1,945",
Craters of the Moon NM & PRES,,,,,"4,672","4,582",,,-90,"6,715",,"7,062",,347,
Cumberland Gap NHP,,,,,"40,486","37,041",,,"-3,445","63,615",,"60,640",,"-2,975",
Cumberland Island NS,,,,,"6,883","5,503",,,"-1,380","10,963",,"9,138",,"-1,825",
Curecanti NRA,,,,,"13,404","18,477",,,"5,073","21,287",,"34,764",,"13,477",
Cuyahoga Valley NP,,,,,"101,659","105,373",,,"3,714","185,966",,"233,466",,"47,500",
Dayton Aviation Heritage NHP,,,,,"2,654","1,951",,,-703,"4,264",,"3,397",,-867,
De Soto NMEM,,,,,"26,518","6,848",,,"-19,670","42,792",,"6,848",,"-35,944",
Death Valley NP,,,,,"123,912","119,257",,,"-4,655","209,327",,"242,850",,"33,523",
Delaware Water Gap NRA,,,,,"202,443","202,443",,,0,"386,306",,"386,306",,0,
Denali NP & PRES,,,,,"3,828","3,508",,,-320,"6,093",,"5,762",,-331,
Devils Tower NM,,,,,"4,395","2,906",,,"-1,489","7,534",,"5,820",,"-1,714",
Dinosaur NM,,,,,"4,016","20,607",,,"16,591","6,871",,"22,034",,"15,163",
Dry Tortugas NP,,,,,"7,108","7,349",,,241,"14,781",,"14,530",,-251,
Dwight D. Eisenhower MEM,,,,,"34,854","28,995",,,"-5,859","60,806",,"52,645",,"-8,161",
Edgar Allan Poe NHS,,,,,"1,049",0,,,"-1,049","1,695",,0,,"-1,695",
Effigy Mounds NM,,,,,"3,196","2,615",,,-581,"5,315",,"4,766",,-549,
Eisenhower NHS,,,,,"3,690","1,921",,,"-1,769","6,637",,"3,429",,"-3,208",
El Malpais NM,,,,,"9,032","9,541",,,509,"15,587",,"17,071",,"1,484",
El Morro NM,,,,,"2,442","2,627",,,185,"4,359",,"5,130",,771,
Eleanor Roosevelt NHS,,,,,434,124,,,-310,686,,393,,-293,
Emmett Till and Mamie Till-Mobley NM,,,,,188,188,,,0,249,,249,,0,
