Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Richmond NBP,,,,,"11,045","9,894",,,"-1,151","21,499",,"20,207",,"-1,292",
Rio Grande W&SR,,,,,10,31,,,21,10,,41,,31,
River Raisin NBP,,,,,"18,273","9,288",,,"-8,985","35,752",,"19,679",,"-16,073",
Rock Creek Park,,,,,"118,290","134,473",,,"16,183","242,030",,"282,564",,"40,534",
Rocky Mountain NP,,,,,"105,737","101,133",,,"-4,604","216,628",,"197,734",,"-18,894",
Roger Williams NMEM,,,,,"1,166",964,,,-202,"1,809",,"1,937",,128,
Rosie The Riveter WWII Home Front NHP,,,,,"2,606","2,701",,,95,"4,993",,"5,316",,323,
Ross Lake NRA,,,,,"7,150","7,642",,,492,"14,021",,"14,885",,864,
Russell Cave NM,,,,,990,282,,,-708,"1,929",,"1,330",,-599,
Sagamore Hill NHS,,,,,"7,440","8,231",,,791,"12,195",,"14,153",,"1,958",
Saguaro NP,,,,,"119,576","101,597",,,"-17,979","216,634",,"209,692",,"-6,942",
Saint Croix NSR,,,,,"6,622","6,216",,,-406,"7,123",,"6,807",,-316,
Saint Paul's Church NHS,,,,,"1,200",925,,,-275,"2,590",,"1,803",,-787,
Saint-Gaudens NHP,,,,,550,225,,,-325,"1,000",,494,,-506,
Salem Maritime NHS,,,,,"7,112","6,361",,,-751,"12,965",,"13,207",,242,
Salinas Pueblo Missions NM,,,,,"3,091","2,247",,,-844,"5,425",,"4,333",,"-1,092",
Salt River Bay NHP & EPRES,,,,,"1,427","1,629",,,202,"3,121",,"3,126",,5,
San Antonio Missions NHP,,,,,"72,802","93,260",,,"20,458","167,913",,"278,645",,"110,732",
San Francisco Maritime NHP,,,,,"127,849","179,865",,,"52,016","269,067",,"377,780",,"108,713",
San Juan Island NHP,,,,,"19,716","18,203",,,"-1,513","31,292",,"50,202",,"18,910",
San Juan NHS,,,,,"127,839","133,700",,,"5,861","257,315",,"264,791",,"7,476",
Sand Creek Massacre NHS,,,,,137,125,,,-12,224,,200,,-24,
Santa Monica Mountains NRA,,,,,"37,217","52,990",,,"15,773","88,660",,"100,663",,"12,003",
Saratoga NHP,,,,,"2,390","3,430",,,"1,040","3,708",,"7,166",,"3,458",
Saugus Iron Works NHS,,,,,898,776,,,-122,"1,752",,"1,920",,168,
Scotts Bluff NM,,,,,"5,517","3,867",,,"-1,650","9,739",,"7,645",,"-2,094",
Sequoia NP,,,,,"38,250","40,294",,,"2,044","86,337",,"92,139",,"5,802",
Shenandoah NP,,,,,"40,505","14,614",,,"-25,891","65,358",,"26,603",,"-38,755",
Shiloh NMP,,,,,"28,420","32,526",,,"4,106","48,856",,"54,171",,"5,315",
Sitka NHP,,,,,"1,836","1,898",,,62,"3,830",,"3,649",,-181,
Sleeping Bear Dunes NL,,,,,"17,560","13,195",,,"-4,365","31,090",,"24,307",,"-6,783",
Springfield Armory NHS,,,,,877,776,,,-101,"1,558",,"1,524",,-34,
Statue of Liberty NM,,,,,"138,595","120,124",,,"-18,471","267,880",,"263,492",,"-4,388",
Ste. Genevieve NHP,,,,,"1,052",483,,,-569,"1,313",,818,,-495,
Steamtown NHS,,,,,"1,932","1,357",,,-575,"3,142",,"2,519",,-623,
Stones River NB,,,,,"23,810","22,679",,,"-1,131","40,891",,"57,859",,"16,968",
Stonewall NM,,,,,"6,411","3,265",,,"-3,146","13,798",,"16,694",,"2,896",
Sunset Crater Volcano NM,,,,,"3,178",0,,,"-3,178","5,763",,0,,"-5,763",
Tallgrass Prairie NPRES,,,,,"1,081",382,,,-699,"1,468",,643,,-825,
Thaddeus Kosciuszko NMEM,,,,,85,0,,,-85,85,,0,,-85,
Theodore Roosevelt Birthplace NHS,,,,,"2,043","2,341",,,298,"3,862",,"5,016",,"1,154",
Theodore Roosevelt Inaugural NHS,,,,,"1,270","1,112",,,-158,"1,877",,"1,923",,46,
Theodore Roosevelt Island,,,,,"13,810","8,261",,,"-5,549","23,286",,"19,676",,"-3,610",
Theodore Roosevelt NP,,,,,"2,670","2,037",,,-633,"3,626",,"2,888",,-738,
Thomas Edison NHP,,,,,0,140,,,140,0,,140,,140,
Thomas Jefferson MEM,,,,,"148,659","119,189",,,"-29,470","229,377",,"184,654",,"-44,723",
Thomas Stone NHS,,,,,145,148,,,3,300,,303,,3,
Timpanogos Cave NM,,,,,295,365,,,70,512,,877,,365,
Timucuan EHP,,,,,"43,864","43,864",,,0,"114,514",,"109,191",,"-5,323",
Tonto NM,,,,,"3,788","3,894",,,106,"6,560",,"6,980",,420,
Tule Lake NM,,,,,0,2,,,2,0,,4,,4,
Tule Springs Fossil Beds NM,,,,,"8,803","4,989",,,"-3,814","17,606",,"7,920",,"-9,686",
Tumacacori NHP,,,,,"4,545","4,880",,,335,"8,057",,"8,696",,639,
Tuskegee Airmen NHS,,,,,"2,750","2,526",,,-224,"4,044",,"3,907",,-137,
Tuskegee Institute NHS,,,,,"1,650",656,,,-994,"2,425",,758,,"-1,667",
Tuzigoot NM,,,,,"8,954","9,628",,,674,"15,936",,"13,956",,"-1,980",
Ulysses S. Grant NHS,,,,,"1,655","1,886",,,231,"2,719",,"3,175",,456,
Upper Delaware S&RR,,,,,"14,748","10,442",,,"-4,306","25,970",,"20,458",,"-5,512",
Valles Caldera NPRES,,,,,"2,382","2,555",,,173,"4,914",,"4,727",,-187,
Valley Forge NHP,,,,,"90,275","65,256",,,"-25,019","149,478",,"112,407",,"-37,071",
Vanderbilt Mansion NHS,,,,,"21,069","14,264",,,"-6,805","23,885",,"26,779",,"2,894",
Vicksburg NMP,,,,,"30,145","38,605",,,"8,460","37,360",,"56,638",,"19,278",
Vietnam Veterans MEM,,,,,"228,024","175,057",,,"-52,967","389,974",,"328,427",,"-61,547",
Virgin Islands NP,,,,,"40,732","46,404",,,"5,672","86,339",,"58,495",,"-27,844",
Voyageurs NP,,,,,973,"8,917",,,"7,944","2,027",,"11,670",,"9,643",
Waco Mammoth NM,,,,,"5,919","5,722",,,-197,"10,314",,"10,153",,-161,
Walnut Canyon NM,,,,,"14,561","10,191",,,"-4,370","21,008",,"17,812",,"-3,196",
War in the Pacific NHP,,,,,"18,673","31,714",,,"13,041","38,716",,"63,831",,"25,115",
Washington Monument,,,,,"22,312","9,679",,,"-12,633","43,616",,"16,411",,"-27,205",
Washita Battlefield NHS,,,,,834,419,,,-415,"1,265",,805,,-460,
Weir Farm NHP,,,,,"1,095",775,,,-320,"2,135",,"1,700",,-435,
Whiskeytown NRA,,,,,"25,564","37,748",,,"12,184","47,047",,"70,901",,"23,854",
White House,,,,,"25,112","25,112",,,0,"47,798",,"33,212",,"-14,586",
White Sands NP,,,,,"42,814","43,146",,,332,"80,290",,"83,955",,"3,665",
Whitman Mission NHS,,,,,"2,675","2,401",,,-274,"4,882",,"5,864",,982,
William Howard Taft NHS,,,,,"1,216",813,,,-403,"1,969",,"1,414",,-555,
Wilson's Creek NB,,,,,"28,735","20,842",,,"-7,893","41,582",,"39,184",,"-2,398",
Wind Cave NP,,,,,"12,147","10,191",,,"-1,956","23,136",,"21,129",,"-2,007",
Wolf Trap NP for the Performing Arts,,,,,"4,041","2,576",,,"-1,465","6,774",,"4,508",,"-2,266",
Women's Rights NHP,,,,,445,374,,,-71,893,,566,,-327,
World War I MEM,,,,,"47,101","34,004",,,"-13,097","82,251",,"61,316",,"-20,935",
World War II MEM,,,,,"224,043","161,835",,,"-62,208","391,296",,"291,819",,"-99,477",
Wrangell-St. Elias NP & PRES,,,,,95,95,,,0,120,,120,,0,
Wright Brothers NMEM,,,,,"9,292","6,668",,,"-2,624","16,816",,"8,371",,"-8,445",
Wupatki NM,,,,,"7,844","4,811",,,"-3,033","13,890",,"8,184",,"-5,706",
Yellowstone NP,,,,,"49,291","44,133",,,"-5,158","92,031",,"84,496",,"-7,535",
Yosemite NP,,,,,"121,027","120,601",,,-426,"248,816",,"256,285",,"7,469",
Zion NP,,,,,"144,218","162,438",,,"18,220","265,128",,"312,206",,"47,078",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
