Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
City of Rocks NRES,,,,,998,"1,201",,,203,998,,"1,201",,203,
Clara Barton NHS,,,,,396,927,,,531,396,,927,,531,
Colonial NHP,,,,,"107,167","83,648",,,"-23,519","107,167",,"83,648",,"-23,519",
Colorado NM,,,,,"26,459","26,917",,,458,"26,459",,"26,917",,458,
Congaree NP,,,,,"13,574","15,129",,,"1,555","13,574",,"15,129",,"1,555",
Coronado NMEM,,,,,"15,693","14,741",,,-952,"15,693",,"14,741",,-952,
Cowpens NB,,,,,"11,688","13,827",,,"2,139","11,688",,"13,827",,"2,139",
Crater Lake NP,,,,,"4,659","4,958",,,299,"4,659",,"4,958",,299,
Craters of the Moon NM & PRES,,,,,"2,043","2,480",,,437,"2,043",,"2,480",,437,
Cumberland Gap NHP,,,,,"23,129","23,599",,,470,"23,129",,"23,599",,470,
Cumberland Island NS,,,,,"4,080","3,635",,,-445,"4,080",,"3,635",,-445,
Curecanti NRA,,,,,"7,883","16,287",,,"8,404","7,883",,"16,287",,"8,404",
Cuyahoga Valley NP,,,,,"84,307","128,093",,,"43,786","84,307",,"128,093",,"43,786",
Dayton Aviation Heritage NHP,,,,,"1,610","1,446",,,-164,"1,610",,"1,446",,-164,
De Soto NMEM,,,,,"16,274",0,,,"-16,274","16,274",,0,,"-16,274",
Death Valley NP,,,,,"85,415","123,593",,,"38,178","85,415",,"123,593",,"38,178",
Delaware Water Gap NRA,,,,,"183,863","183,863",,,0,"183,863",,"183,863",,0,
Denali NP & PRES,,,,,"2,265","2,254",,,-11,"2,265",,"2,254",,-11,
Devils Tower NM,,,,,"3,139","2,914",,,-225,"3,139",,"2,914",,-225,
Dinosaur NM,,,,,"2,855","1,427",,,"-1,428","2,855",,"1,427",,"-1,428",
Dry Tortugas NP,,,,,"7,673","7,181",,,-492,"7,673",,"7,181",,-492,
Dwight D. Eisenhower MEM,,,,,"25,952","23,650",,,"-2,302","25,952",,"23,650",,"-2,302",
Edgar Allan Poe NHS,,,,,646,0,,,-646,646,,0,,-646,
Effigy Mounds NM,,,,,"2,119","2,151",,,32,"2,119",,"2,151",,32,
Eisenhower NHS,,,,,"2,947","1,508",,,"-1,439","2,947",,"1,508",,"-1,439",
El Malpais NM,,,,,"6,555","7,530",,,975,"6,555",,"7,530",,975,
El Morro NM,,,,,"1,917","2,503",,,586,"1,917",,"2,503",,586,
Eleanor Roosevelt NHS,,,,,252,269,,,17,252,,269,,17,
Emmett Till and Mamie Till-Mobley NM,,,,,61,61,,,0,61,,61,,0,
Eugene O'Neill NHS,,,,,740,"1,392",,,652,740,,"1,392",,652,
Everglades NP,,,,,"65,585","89,939",,,"24,354","65,585",,"89,939",,"24,354",
Federal Hall NMEM,,,,,"3,011","3,857",,,846,"3,011",,"3,857",,846,
Fire Island NS,,,,,"2,592","6,184",,,"3,592","2,592",,"6,184",,"3,592",
First Ladies NHS,,,,,433,202,,,-231,433,,202,,-231,
First State NHP,,,,,"7,785","4,322",,,"-3,463","7,785",,"4,322",,"-3,463",
Flight 93 NMEM,,,,,"3,142","5,049",,,"1,907","3,142",,"5,049",,"1,907",
Florissant Fossil Beds NM,,,,,739,"1,199",,,460,739,,"1,199",,460,
Ford's Theatre NHS,,,,,"11,673","13,083",,,"1,410","11,673",,"13,083",,"1,410",
Fort Bowie NHS,,,,,907,983,,,76,907,,983,,76,
Fort Caroline NMEM,,,,,"31,444","26,258",,,"-5,186","31,444",,"26,258",,"-5,186",
Fort Davis NHS,,,,,"2,110","2,361",,,251,"2,110",,"2,361",,251,
Fort Donelson NB,,,,,"9,264","9,238",,,-26,"9,264",,"9,238",,-26,
Fort Frederica NM,,,,,"27,582","26,538",,,"-1,044","27,582",,"26,538",,"-1,044",
Fort Laramie NHS,,,,,530,560,,,30,530,,560,,30,
Fort Larned NHS,,,,,772,854,,,82,772,,854,,82,
Fort Matanzas NM,,,,,"47,654","26,446",,,"-21,208","47,654",,"26,446",,"-21,208",
Fort McHenry NM & HS,,,,,"5,413","5,692",,,279,"5,413",,"5,692",,279,
Fort Necessity NB,,,,,"4,478","4,363",,,-115,"4,478",,"4,363",,-115,
