Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Salt River Bay NHP & EPRES,,,,,"1,694","1,497",,,-197,"1,694",,"1,497",,-197,
San Antonio Missions NHP,,,,,"95,111","185,385",,,"90,274","95,111",,"185,385",,"90,274",
San Francisco Maritime NHP,,,,,"141,218","197,915",,,"56,697","141,218",,"197,915",,"56,697",
San Juan Island NHP,,,,,"11,576","31,999",,,"20,423","11,576",,"31,999",,"20,423",
San Juan NHS,,,,,"129,476","131,091",,,"1,615","129,476",,"131,091",,"1,615",
Sand Creek Massacre NHS,,,,,87,75,,,-12,87,,75,,-12,
Santa Monica Mountains NRA,,,,,"51,443","47,673",,,"-3,770","51,443",,"47,673",,"-3,770",
Saratoga NHP,,,,,"1,318","3,736",,,"2,418","1,318",,"3,736",,"2,418",
Saugus Iron Works NHS,,,,,854,"1,144",,,290,854,,"1,144",,290,
Scotts Bluff NM,,,,,"4,222","3,778",,,-444,"4,222",,"3,778",,-444,
Sequoia NP,,,,,"48,087","51,845",,,"3,758","48,087",,"51,845",,"3,758",
Shenandoah NP,,,,,"24,853","11,989",,,"-12,864","24,853",,"11,989",,"-12,864",
Shiloh NMP,,,,,"20,436","21,645",,,"1,209","20,436",,"21,645",,"1,209",
Sitka NHP,,,,,"1,994","1,751",,,-243,"1,994",,"1,751",,-243,
Sleeping Bear Dunes NL,,,,,"13,530","11,112",,,"-2,418","13,530",,"11,112",,"-2,418",
Springfield Armory NHS,,,,,681,748,,,67,681,,748,,67,
Statue of Liberty NM,,,,,"129,285","143,368",,,"14,083","129,285",,"143,368",,"14,083",
Ste. Genevieve NHP,,,,,261,335,,,74,261,,335,,74,
Steamtown NHS,,,,,"1,210","1,162",,,-48,"1,210",,"1,162",,-48,
Stones River NB,,,,,"17,081","35,180",,,"18,099","17,081",,"35,180",,"18,099",
Stonewall NM,,,,,"7,387","13,429",,,"6,042","7,387",,"13,429",,"6,042",
Sunset Crater Volcano NM,,,,,"2,585",0,,,"-2,585","2,585",,0,,"-2,585",
Tallgrass Prairie NPRES,,,,,387,261,,,-126,387,,261,,-126,
Theodore Roosevelt Birthplace NHS,,,,,"1,819","2,675",,,856,"1,819",,"2,675",,856,
Theodore Roosevelt Inaugural NHS,,,,,607,811,,,204,607,,811,,204,
Theodore Roosevelt Island,,,,,"9,476","11,415",,,"1,939","9,476",,"11,415",,"1,939",
Theodore Roosevelt NP,,,,,956,851,,,-105,956,,851,,-105,
Thomas Jefferson MEM,,,,,"80,718","65,465",,,"-15,253","80,718",,"65,465",,"-15,253",
Thomas Stone NHS,,,,,155,155,,,0,155,,155,,0,
Timpanogos Cave NM,,,,,217,512,,,295,217,,512,,295,
Timucuan EHP,,,,,"70,650","65,327",,,"-5,323","70,650",,"65,327",,"-5,323",
Tonto NM,,,,,"2,772","3,086",,,314,"2,772",,"3,086",,314,
Tule Lake NM,,,,,0,2,,,2,0,,2,,2,
Tule Springs Fossil Beds NM,,,,,"8,803","2,931",,,"-5,872","8,803",,"2,931",,"-5,872",
Tumacacori NHP,,,,,"3,512","3,816",,,304,"3,512",,"3,816",,304,
Tuskegee Airmen NHS,,,,,"1,294","1,381",,,87,"1,294",,"1,381",,87,
Tuskegee Institute NHS,,,,,775,102,,,-673,775,,102,,-673,
Tuzigoot NM,,,,,"6,982","4,328",,,"-2,654","6,982",,"4,328",,"-2,654",
Ulysses S. Grant NHS,,,,,"1,064","1,289",,,225,"1,064",,"1,289",,225,
Upper Delaware S&RR,,,,,"11,222","10,016",,,"-1,206","11,222",,"10,016",,"-1,206",
Valles Caldera NPRES,,,,,"2,532","2,172",,,-360,"2,532",,"2,172",,-360,
Valley Forge NHP,,,,,"59,203","47,151",,,"-12,052","59,203",,"47,151",,"-12,052",
Vanderbilt Mansion NHS,,,,,"2,816","12,515",,,"9,699","2,816",,"12,515",,"9,699",
Vicksburg NMP,,,,,"7,215","18,033",,,"10,818","7,215",,"18,033",,"10,818",
Vietnam Veterans MEM,,,,,"161,950","153,370",,,"-8,580","161,950",,"153,370",,"-8,580",
Virgin Islands NP,,,,,"45,607","12,091",,,"-33,516","45,607",,"12,091",,"-33,516",
Voyageurs NP,,,,,"1,054","2,753",,,"1,699","1,054",,"2,753",,"1,699",
Waco Mammoth NM,,,,,"4,395","4,431",,,36,"4,395",,"4,431",,36,
Walnut Canyon NM,,,,,"6,447","7,621",,,"1,174","6,447",,"7,621",,"1,174",
War in the Pacific NHP,,,,,"20,043","32,117",,,"12,074","20,043",,"32,117",,"12,074",
Washington Monument,,,,,"21,304","6,732",,,"-14,572","21,304",,"6,732",,"-14,572",
Washita Battlefield NHS,,,,,431,386,,,-45,431,,386,,-45,
Weir Farm NHP,,,,,"1,040",925,,,-115,"1,040",,925,,-115,
Whiskeytown NRA,,,,,"21,483","33,153",,,"11,670","21,483",,"33,153",,"11,670",
White House,,,,,"22,686","8,100",,,"-14,586","22,686",,"8,100",,"-14,586",
White Sands NP,,,,,"37,476","40,809",,,"3,333","37,476",,"40,809",,"3,333",
Whitman Mission NHS,,,,,"2,207","3,463",,,"1,256","2,207",,"3,463",,"1,256",
William Howard Taft NHS,,,,,753,601,,,-152,753,,601,,-152,
Wilson's Creek NB,,,,,"12,847","18,342",,,"5,495","12,847",,"18,342",,"5,495",
Wind Cave NP,,,,,"10,989","10,938",,,-51,"10,989",,"10,938",,-51,
Wolf Trap NP for the Performing Arts,,,,,"2,733","1,932",,,-801,"2,733",,"1,932",,-801,
Women's Rights NHP,,,,,448,192,,,-256,448,,192,,-256,
World War I MEM,,,,,"35,150","27,312",,,"-7,838","35,150",,"27,312",,"-7,838",
World War II MEM,,,,,"167,253","129,984",,,"-37,269","167,253",,"129,984",,"-37,269",
Wrangell-St. Elias NP & PRES,,,,,25,25,,,0,25,,25,,0,
Wright Brothers NMEM,,,,,"7,524","1,703",,,"-5,821","7,524",,"1,703",,"-5,821",
Wupatki NM,,,,,"6,046","3,373",,,"-2,673","6,046",,"3,373",,"-2,673",
Yellowstone NP,,,,,"42,740","40,363",,,"-2,377","42,740",,"40,363",,"-2,377",
Yosemite NP,,,,,"127,789","135,684",,,"7,895","127,789",,"135,684",,"7,895",
Zion NP,,,,,"120,910","149,768",,,"28,858","120,910",,"149,768",,"28,858",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
