Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Chiricahua NM,,,,,"33,156","34,712",,,"1,556","33,156",,"34,712",,"1,556",
Christiansted NHS,,,,,"6,433","6,203",,,-230,"6,433",,"6,203",,-230,
City of Rocks NRES,,,,,"3,494","4,204",,,710,"3,494",,"4,204",,710,
Clara Barton NHS,,,,,396,927,,,531,396,,927,,531,
Colonial NHP,,,,,"109,981","86,492",,,"-23,489","109,981",,"86,492",,"-23,489",
Colorado NM,,,,,"59,996","59,913",,,-83,"59,996",,"59,913",,-83,
Congaree NP,,,,,"51,183","58,528",,,"7,345","51,183",,"58,528",,"7,345",
Coronado NMEM,,,,,"14,149","14,100",,,-49,"14,149",,"14,100",,-49,
Cowpens NB,,,,,"13,499","13,728",,,229,"13,499",,"13,728",,229,
Crater Lake NP,,,,,"16,927","18,794",,,"1,867","16,927",,"18,794",,"1,867",
Craters of the Moon NM & PRES,,,,,"4,392","5,332",,,940,"4,392",,"5,332",,940,
Cumberland Gap NHP,,,,,"33,202","32,856",,,-346,"33,202",,"32,856",,-346,
Cumberland Island NS,,,,,"44,018","52,882",,,"8,864","44,018",,"52,882",,"8,864",
Curecanti NRA,,,,,"25,935","53,910",,,"27,975","25,935",,"53,910",,"27,975",
Cuyahoga Valley NP,,,,,"196,088","398,800",,,"202,712","196,088",,"398,800",,"202,712",
Dayton Aviation Heritage NHP,,,,,"2,450","2,331",,,-119,"2,450",,"2,331",,-119,
De Soto NMEM,,,,,"26,852",0,,,"-26,852","26,852",,0,,"-26,852",
Death Valley NP,,,,,"740,731","990,812",,,"250,081","740,731",,"990,812",,"250,081",
Delaware Water Gap NRA,,,,,"755,273","754,853",,,-420,"755,273",,"754,853",,-420,
Denali NP & PRES,,,,,"23,228","24,422",,,"1,194","23,228",,"24,422",,"1,194",
Devils Tower NM,,,,,"7,534","6,992",,,-542,"7,534",,"6,992",,-542,
Dinosaur NM,,,,,"6,254","2,265",,,"-3,989","6,254",,"2,265",,"-3,989",
Dry Tortugas NP,,,,,"55,556","50,285",,,"-5,271","55,556",,"50,285",,"-5,271",
Dwight D. Eisenhower MEM,,,,,"12,976","11,825",,,"-1,151","12,976",,"11,825",,"-1,151",
Edgar Allan Poe NHS,,,,,646,0,,,-646,646,,0,,-646,
Effigy Mounds NM,,,,,"5,297","5,378",,,81,"5,297",,"5,378",,81,
Eisenhower NHS,,,,,"4,715","1,131",,,"-3,584","4,715",,"1,131",,"-3,584",
El Malpais NM,,,,,"26,220","30,121",,,"3,901","26,220",,"30,121",,"3,901",
El Morro NM,,,,,"4,228","5,499",,,"1,271","4,228",,"5,499",,"1,271",
Eleanor Roosevelt NHS,,,,,379,404,,,25,379,,404,,25,
Emmett Till and Mamie Till-Mobley NM,,,,,65,65,,,0,65,,65,,0,
Eugene O'Neill NHS,,,,,722,956,,,234,722,,956,,234,
Everglades NP,,,,,"370,395","879,358",,,"508,963","370,395",,"879,358",,"508,963",
Federal Hall NMEM,,,,,"2,128","2,681",,,553,"2,128",,"2,681",,553,
