Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Russell Cave NM,,,,,939,"1,048",,,109,939,,"1,048",,109,
Sagamore Hill NHS,,,,,"11,888","14,805",,,"2,917","11,888",,"14,805",,"2,917",
Saguaro NP,,,,,"172,657","199,758",,,"27,101","172,657",,"199,758",,"27,101",
Saint Croix NSR,,,,,"3,340","3,620",,,280,"3,340",,"3,620",,280,
Saint Paul's Church NHS,,,,,"1,989","1,212",,,-777,"1,989",,"1,212",,-777,
Saint-Gaudens NHP,,,,,450,269,,,-181,450,,269,,-181,
Salem Maritime NHS,,,,,"2,926","3,423",,,497,"2,926",,"3,423",,497,
Salinas Pueblo Missions NM,,,,,"4,558","4,083",,,-475,"4,558",,"4,083",,-475,
Salt River Bay NHP & EPRES,,,,,"4,478","4,007",,,-471,"4,478",,"4,007",,-471,
San Antonio Missions NHP,,,,,"128,443","312,914",,,"184,471","128,443",,"312,914",,"184,471",
San Francisco Maritime NHP,,,,,"133,443","187,008",,,"53,565","133,443",,"187,008",,"53,565",
San Juan Island NHP,,,,,"11,576","31,999",,,"20,423","11,576",,"31,999",,"20,423",
San Juan NHS,,,,,"233,310","248,659",,,"15,349","233,310",,"248,659",,"15,349",
Sand Creek Massacre NHS,,,,,166,150,,,-16,166,,150,,-16,
Santa Monica Mountains NRA,,,,,"83,250","81,796",,,"-1,454","83,250",,"81,796",,"-1,454",
Saratoga NHP,,,,,"3,133","9,948",,,"6,815","3,133",,"9,948",,"6,815",
Saugus Iron Works NHS,,,,,"1,282","1,716",,,434,"1,282",,"1,716",,434,
Scotts Bluff NM,,,,,"8,021","7,178",,,-843,"8,021",,"7,178",,-843,
Sequoia NP,,,,,"230,819","248,856",,,"18,037","230,819",,"248,856",,"18,037",
Shenandoah NP,,,,,"59,482","26,945",,,"-32,537","59,482",,"26,945",,"-32,537",
Shiloh NMP,,,,,"24,878","27,262",,,"2,384","24,878",,"27,262",,"2,384",
Sitka NHP,,,,,"1,331","1,166",,,-165,"1,331",,"1,166",,-165,
Sleeping Bear Dunes NL,,,,,"43,318","36,997",,,"-6,321","43,318",,"36,997",,"-6,321",
Springfield Armory NHS,,,,,"1,362","1,496",,,134,"1,362",,"1,496",,134,
Statue of Liberty NM,,,,,"581,782","645,156",,,"63,374","581,782",,"645,156",,"63,374",
Ste. Genevieve NHP,,,,,109,107,,,-2,109,,107,,-2,
Steamtown NHS,,,,,"1,512","1,947",,,435,"1,512",,"1,947",,435,
Stones River NB,,,,,"20,072","41,323",,,"21,251","20,072",,"41,323",,"21,251",
Stonewall NM,,,,,"2,441","4,455",,,"2,014","2,441",,"4,455",,"2,014",
Sunset Crater Volcano NM,,,,,"3,231",0,,,"-3,231","3,231",,0,,"-3,231",
Tallgrass Prairie NPRES,,,,,774,522,,,-252,774,,522,,-252,
Theodore Roosevelt Birthplace NHS,,,,,"2,028","3,307",,,"1,279","2,028",,"3,307",,"1,279",
Theodore Roosevelt Inaugural NHS,,,,,910,"1,361",,,451,910,,"1,361",,451,
Theodore Roosevelt Island,,,,,"17,058","20,546",,,"3,488","17,058",,"20,546",,"3,488",
Theodore Roosevelt NP,,,,,"4,359","4,494",,,135,"4,359",,"4,494",,135,
Thomas Jefferson MEM,,,,,"40,359","32,733",,,"-7,626","40,359",,"32,733",,"-7,626",
Thomas Stone NHS,,,,,78,78,,,0,78,,78,,0,
Timpanogos Cave NM,,,,,217,533,,,316,217,,533,,316,
Timucuan EHP,,,,,"154,160","142,695",,,"-11,465","154,160",,"142,695",,"-11,465",
Tonto NM,,,,,"5,454","5,679",,,225,"5,454",,"5,679",,225,
Tule Lake NM,,,,,0,1,,,1,0,,1,,1,
Tule Springs Fossil Beds NM,,,,,"13,204","4,749",,,"-8,455","13,204",,"4,749",,"-8,455",
Tumacacori NHP,,,,,"5,268","5,724",,,456,"5,268",,"5,724",,456,
Tuskegee Airmen NHS,,,,,"1,941","2,072",,,131,"1,941",,"2,072",,131,
Tuskegee Institute NHS,,,,,388,77,,,-311,388,,77,,-311,
Tuzigoot NM,,,,,"6,982","4,328",,,"-2,654","6,982",,"4,328",,"-2,654",
Ulysses S. Grant NHS,,,,,"1,596","1,934",,,338,"1,596",,"1,934",,338,
Upper Delaware S&RR,,,,,"5,123","4,627",,,-496,"5,123",,"4,627",,-496,
Valles Caldera NPRES,,,,,"7,354","6,360",,,-994,"7,354",,"6,360",,-994,
Valley Forge NHP,,,,,"118,406","94,302",,,"-24,104","118,406",,"94,302",,"-24,104",
Vanderbilt Mansion NHS,,,,,"3,677","13,490",,,"9,813","3,677",,"13,490",,"9,813",
Vicksburg NMP,,,,,"15,359","39,698",,,"24,339","15,359",,"39,698",,"24,339",
Vietnam Veterans MEM,,,,,"80,975","76,685",,,"-4,290","80,975",,"76,685",,"-4,290",
Virgin Islands NP,,,,,"280,481","74,360",,,"-206,121","280,481",,"74,360",,"-206,121",
Voyageurs NP,,,,,"3,047","9,864",,,"6,817","3,047",,"9,864",,"6,817",
Waco Mammoth NM,,,,,"5,524","5,539",,,15,"5,524",,"5,539",,15,
Walnut Canyon NM,,,,,"8,381","9,908",,,"1,527","8,381",,"9,908",,"1,527",
War in the Pacific NHP,,,,,"20,043","32,317",,,"12,274","20,043",,"32,317",,"12,274",
Washington Monument,,,,,"21,304","6,732",,,"-14,572","21,304",,"6,732",,"-14,572",
Washita Battlefield NHS,,,,,862,771,,,-91,862,,771,,-91,
Weir Farm NHP,,,,,"1,040",925,,,-115,"1,040",,925,,-115,
Whiskeytown NRA,,,,,"63,671","79,971",,,"16,300","63,671",,"79,971",,"16,300",
White House,,,,,"11,499","4,050",,,"-7,449","11,499",,"4,050",,"-7,449",
White Sands NP,,,,,"78,858","84,248",,,"5,390","78,858",,"84,248",,"5,390",
Whitman Mission NHS,,,,,"2,207","3,463",,,"1,256","2,207",,"3,463",,"1,256",
William Howard Taft NHS,,,,,753,601,,,-152,753,,601,,-152,
Wilson's Creek NB,,,,,"25,693","36,683",,,"10,990","25,693",,"36,683",,"10,990",
Wind Cave NP,,,,,"18,346","17,846",,,-500,"18,346",,"17,846",,-500,
Wolf Trap NP for the Performing Arts,,,,,"10,932","7,728",,,"-3,204","10,932",,"7,728",,"-3,204",
Women's Rights NHP,,,,,455,199,,,-256,455,,199,,-256,
World War I MEM,,,,,"17,575","13,656",,,"-3,919","17,575",,"13,656",,"-3,919",
World War II MEM,,,,,"83,627","64,992",,,"-18,635","83,627",,"64,992",,"-18,635",
Wrangell-St. Elias NP & PRES,,,,,"1,150","1,150",,,0,"1,150",,"1,150",,0,
Wright Brothers NMEM,,,,,"7,524","1,703",,,"-5,821","7,524",,"1,703",,"-5,821",
Wupatki NM,,,,,"24,183","13,493",,,"-10,690","24,183",,"13,493",,"-10,690",
Yellowstone NP,,,,,"712,853","717,065",,,"4,212","712,853",,"717,065",,"4,212",
Yosemite NP,,,,,"1,505,991","1,455,954",,,"-50,037","1,505,991",,"1,455,954",,"-50,037",
Zion NP,,,,,"758,353","849,892",,,"91,539","758,353",,"849,892",,"91,539",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
