Year,Aggregate_Change,Z_Score,Is_Outlier,Parks_With_Data
1905,3377.3333333333335,-0.3841356567353441,False,6
1906,-1499.8,-0.5075069036171769,False,5
1907,338.0,-0.4610181853428971,False,7
1908,1393.2857142857142,-0.4343238332532788,False,7
1909,2266.375,-0.4122382952013343,False,8
1910,-935.375,-0.49322929190101605,False,8
1911,1815.6666666666667,-0.423639346856685,False,9
1912,412.7,-0.45912858513880056,False,10
1913,1851.9,-0.4227227937902624,False,10
1914,-721.0,-0.48780649345719806,False,10
1915,7360.6,-0.2833755294755792,False,10
1916,981.6363636363636,-0.44473685463217083,False,11
1917,10724.0,-0.19829545817091468,False,11
1918,-1499.0833333333333,-0.5074887749226707,False,12
1919,15847.5,-0.06869215635446445,False,12
1920,11483.0625,-0.1790943249055591,False,16
1921,2313.823529411765,-0.4110380441857981,False,17
1922,1686.4444444444443,-0.4269081331683975,False,18
1923,10624.947368421053,-0.20080107895870425,False,19
1924,6120.333333333333,-0.31474913250727293,False,21
1925,17261.52380952381,-0.03292321821425541,False,21
1926,9961.714285714286,-0.2175781253903818,False,21
1927,13471.095238095239,-0.1288053414028088,False,21
1928,10511.333333333334,-0.20367504286620078,False,21
1929,9915.666666666666,-0.21874293918356177,False,21
1930,1781.3333333333333,-0.4245078378027892,False,24
1931,3837.7391304347825,-0.3724892994639901,False,23
1932,-3669.2083333333335,-0.5623839374784284,False,24
1933,1397.24,-0.43422380622392437,False,25
1934,25987.69230769231,0.18781265561600366,False,26
1935,14094.413793103447,-0.11303796698834163,False,29
1936,36721.41935483871,0.459331434986885,False,31
1937,25901.575757575756,0.18563426404068464,False,33
1938,1265.0294117647059,-0.4375681858024136,False,34
1939,2697.0285714285715,-0.4013445458510485,False,35
1940,15338.638888888889,-0.08156423211634355,False,36
1941,34003.78378378379,0.3905865256197429,False,37
1942,-123500.675,-3.5936230789848,True,40
1943,-46278.7,-1.6402273665250804,True,40
1944,11893.375,-0.16871512030390745,False,40
1945,46863.73170731707,0.7158898752981886,False,41
1946,116744.80487804877,2.4835912156717193,True,41
1947,42863.14634146341,0.6146916567731168,False,41
1948,18505.3,-0.0014608387848808872,False,40
1949,33216.80487804878,0.37067922306423323,False,41
1950,22374.170731707316,0.09640554574333109,False,41
1951,44094.357142857145,0.6458361839698974,False,42
1952,54897.142857142855,0.9191018612192401,False,42
1953,13224.166666666666,-0.13505161019757062,False,42
1954,15370.309523809523,-0.08076309639733553,False,42
1955,14633.333333333334,-0.09940553762810028,False,42
1956,45042.857142857145,0.6698293003498921,False,42
1957,19765.909090909092,0.0304273432160271,False,44
1958,23002.222222222223,0.11229264379768356,False,45
1959,20508.88888888889,0.04922165081846705,False,45
1960,95651.11111111111,1.9500082431528947,True,45
1961,23773.91304347826,0.13181322121863223,False,46
1962,100076.08695652174,2.061941780778201,True,46
1963,14265.217391304348,-0.10871734431068633,False,46
1964,19061.702127659573,0.01261382753353013,False,47
1965,112676.59574468085,2.3806823962778823,True,47
1966,86008.33333333333,1.7060859559113033,True,48
1967,-23752.083333333332,-1.0703973872621784,True,48
1968,55581.25,0.9364069348038022,False,48
1969,7747.916666666667,-0.27357802408892135,False,48
1970,58960.416666666664,1.0218858373876,True,48
1971,-77395.91836734694,-2.427363941864527,True,49
1972,113345.88235294117,2.3976125718008787,True,51
1973,-23247.826923076922,-1.057641791335304,True,52
1974,-55556.6037735849,-1.8749198546663717,True,53
1975,90037.7358490566,1.8080131288175678,True,53
1976,93647.16981132075,1.8993168390152584,True,53
1977,24790.74074074074,0.15753474497068365,False,54
1978,-9647.444444444445,-0.7136085181436641,False,54
