Year,Aggregate_Change,Z_Score,Is_Outlier,Parks_With_Outliers
1979,,,False,0
1980,23928.618181818183,0.20786292771184398,False,10
1981,58960.10909090909,1.0819506198898226,True,14
1982,3565.8545454545456,-0.3002182475788096,False,12
1983,18080.566666666666,0.06194536268779306,False,11
1984,-23122.45,-0.9661310569655682,False,10
1985,15404.754098360656,-0.00482013235211318,False,13
1986,65931.45161290323,1.2558959627313613,True,7
1987,52625.98387096774,0.9239047944971018,False,9
1988,7342.967741935484,-0.20597366730745606,False,10
1989,12991.645161290322,-0.06503078188602993,False,9
1990,-43648.1129032258,-1.4782768107407214,True,7
1991,65971.64516129032,1.256898851419179,True,12
1992,25434.467741935485,0.24543610922975026,False,15
1993,33127.145161290326,0.4373798283709924,False,14
1994,16456.483870967742,0.021422086459488492,False,13
1995,40636.8064516129,0.6247570234589963,False,13
1996,-19171.44262295082,-0.8675475587940168,False,15
1997,32916.7868852459,0.4321310771683853,False,10
1998,-6456.741935483871,-0.5502969053895495,False,15
1999,-9325.354838709678,-0.6218730549413781,False,12
2000,-29223.483870967742,-1.1183609072455047,True,17
2001,-34205.645161290326,-1.242673225999441,True,11
2002,10406.306451612903,-0.12953881987118718,False,11
2003,-29036.968253968254,-1.1137070657735186,True,11
2004,-1679.983870967742,-0.431109701980461,False,9
2005,2783.7096774193546,-0.31973392290144664,False,8
2006,-59452.51612903226,-1.8726201282359645,True,12
2007,28679.285714285714,0.32639913362256057,False,6
2008,-26053.47619047619,-1.0392645106685532,True,10
2009,36123.31746031746,0.5121387741726565,False,13
2010,32329.79365079365,0.41748472474913073,False,7
2011,-39238.01587301587,-1.3682383443385733,True,19
2012,39022.65079365079,0.5844814440511559,False,15
2013,-30625.460317460318,-1.1533423004092358,True,11
2014,76047.19047619047,1.5082986612243126,True,16
2015,101243.03174603175,2.1369722967595624,True,21
2016,116093.33333333333,2.507509362289448,True,27
2017,28129.904761904763,0.3126912634654104,False,23
2018,-26623.174603174604,-1.053479331615948,True,20
2019,52327.76190476191,0.9164637138170333,False,15
2022,-37279.4126984127,-1.3193682881590039,True,33
2023,59174.968253968254,1.0873116749036968,True,21
2024,30116.873015873014,0.3622690704747977,False,17
