ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Wrangell-St. Elias NP & PRES,,,,,2025,May,5411,,248926,,,,,,21.0,,1294.0
Yellowstone NP,,,,,2025,May,566363,118061.0,8242453,69392.0,38637.0,14385.0,3150.0,3236.0,843.0,,3.0
Yosemite NP,,,,,2025,May,441789,18083.0,6173103,487369.0,58252.0,,44641.0,29680.0,7300.0,,1704.0
Zion NP,,,,,2025,May,589279,1860.0,3532454,465.0,8219.0,,7056.0,8184.0,1913.0,,4436.0
Acadia NP,,,,,2025,June,631333,7500.0,4699110,7500.0,,200.0,25087.0,10222.0,221.0,,2294.0
Arches NP,,,,,2025,June,175660,777.0,1166847,2564.0,,,2114.0,2485.0,11.0,,996.0
Badlands NP,,,,,2025,June,221824,7781.0,984742,3890.0,2093.0,6817.0,717.0,128.0,214.0,,
Big Bend NP,,,,,2025,June,24636,225.0,402882,675.0,374.0,301.0,2607.0,286.0,844.0,,57.0
Biscayne NP,,,,,2025,June,45403,,136210,,,,0.0,,,,0.0
Black Canyon of the Gunnison NP,,,,,2025,June,50,,210660,,,,3881.0,3525.0,547.0,,
Bryce Canyon NP,,,,,2025,June,316192,57006.0,2102563,17102.0,7745.0,,8133.0,7740.0,317.0,,2.0
Canyonlands NP,,,,,2025,June,87146,,545090,,,,661.0,683.0,6787.0,,205.0
Capitol Reef NP,,,,,2025,June,167193,7863.0,193283,7863.0,,,3631.0,2857.0,93.0,,512.0
Carlsbad Caverns NP,,,,,2025,June,50337,,195953,,,,,,17.0,,
Channel Islands NP,,,,,2025,June,25655,564.0,260553,13536.0,,,,,6872.0,564.0,4334.0
Congaree NP,,,,,2025,June,24877,,93632,,,,754.0,,9.0,,187.0
Crater Lake NP,,,,,2025,June,73327,6100.0,335337,3050.0,3092.0,1397.0,,,64.0,,
Cuyahoga Valley NP,,,,,2025,June,319855,,1006185,,143.0,,,,,,670.0
Death Valley NP,,,,,2025,June,76156,2973.0,452771,4460.0,2287.0,98.0,524.0,320.0,75.0,,0.0
Denali NP & PRES,,,,,2025,June,122002,168991.0,1545421,42248.0,,5019.0,,,10630.0,,
Dry Tortugas NP,,,,,2025,June,8022,189.0,57736,2268.0,,,340.0,,,189.0,953.0
Everglades NP,,,,,2025,June,59249,300.0,240968,1350.0,,787.0,,,139.0,,0.0
Gates of the Arctic NP & PRES,,,,,2025,June,3117,,19013,,,,,,733.0,,
Gateway Arch NP,,,,,2025,June,277953,,611496,,,,,,,,
Glacier Bay NP & PRES,,,,,2025,June,3458,0.0,95412,0.0,0.0,,229.0,,964.0,0.0,2438.0
Glacier NP,,,,,2025,June,576577,32.0,6876928,288.0,22155.0,,23233.0,29055.0,3437.0,,2489.0
Grand Canyon NP,,,,,2025,June,455209,3929.0,7116578,3929.0,76032.0,10278.0,16797.0,12215.0,12018.0,,1768.0
Grand Teton NP,,,,,2025,June,680406,166789.0,4753513,166789.0,51535.0,82471.0,0.0,0.0,5086.0,,
Great Basin NP,,,,,2025,June,27450,100.0,229048,50.0,,,3441.0,3084.0,24.0,,124.0
Great Sand Dunes NP & PRES,,,,,2025,June,75009,45.0,539356,45.0,,,4076.0,6167.0,2227.0,,1907.0
Great Smoky Mountains NP,,,,,2025,June,1336144,999000.0,6512606,499500.0,1388.0,,38907.0,23848.0,8450.0,,8533.0
Guadalupe Mountains NP,,,,,2025,June,12543,120.0,40527,120.0,,,1354.0,458.0,115.0,,372.0
Haleakala NP,,,,,2025,June,72944,1680.0,216160,1680.0,,,1913.0,,396.0,,619.0
Hawaii Volcanoes NP,,,,,2025,June,173229,155341.0,1076334,51263.0,3043.0,418.0,63.0,0.0,590.0,,6428.0
Hot Springs NP,,,,,2025,June,351571,12738.0,964801,14522.0,,,53.0,3186.0,,,
Indiana Dunes NP,,,,,2025,June,425848,324.0,1398462,162.0,,,4501.0,2217.0,,,
Isle Royale NP,,,,,2025,June,6362,0.0,316837,0.0,3720.0,0.0,1076.0,,5260.0,0.0,3251.0
Joshua Tree NP,,,,,2025,June,155366,570.0,740690,570.0,,,5532.0,2643.0,111.0,,2594.0
Katmai NP & PRES,,,,,2025,June,4503,901.0,143839,5586.0,1112.0,,1182.0,,2536.0,0.0,
Kenai Fjords NP,,,,,2025,June,87199,,222833,,,,166.0,,4.0,,44.0
Kings Canyon NP,,,,,2025,June,67799,3508.0,2501775,14032.0,6930.0,,19465.0,7289.0,2427.0,,360.0
Kobuk Valley NP,,,,,2025,June,1739,600.0,20069,24000.0,,,,,570.0,800.0,
