ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Virgin Islands NP,,National Park,,,2025,8,25100,15000.0,154367,3750.0,226.0,215.0,,,,0.0,0.0
Voyageurs NP,,National Park,,,2025,8,42785,,205795,,888.0,,,,15818.0,,1567.0
White Sands NP,,National Park,,,2025,8,49344,,24672,,,,,,,,
Wind Cave NP,,National Park,,,2025,8,108995,24290.0,315757,8016.0,,,0.0,0.0,121.0,,0.0
Wrangell-St. Elias NP & PRES,,National Park,,,2025,8,20020,,920935,,,,,,11.0,,6643.0
Yellowstone NP,,National Park,,,2025,8,881936,189545.0,17061452,105041.0,132682.0,103037.0,13612.0,7834.0,12598.0,,163.0
Yosemite NP,,National Park,,,2025,8,586650,22662.0,8001560,572337.0,0.0,,98407.0,43412.0,35976.0,,3216.0
Zion NP,,National Park,,,2025,8,476657,1860.0,3011400,465.0,9073.0,,9288.0,8066.0,742.0,,3192.0
Acadia NP,,National Park,,,2025,7,797030,7500.0,5182020,7500.0,,289.0,29762.0,11799.0,213.0,,3122.0
Arches NP,,National Park,,,2025,7,158207,731.0,1068662,2350.0,,,2005.0,3137.0,3.0,,716.0
Badlands NP,,National Park,,,2025,7,232859,8231.0,1016894,4115.0,831.0,7106.0,727.0,150.0,248.0,,
Big Bend NP,,National Park,,,2025,7,21457,225.0,321301,675.0,0.0,297.0,1697.0,97.0,529.0,,39.0
Biscayne NP,,National Park,,,2025,7,47308,,141923,,,,0.0,,,,0.0
Black Canyon of the Gunnison NP,,National Park,,,2025,7,50,,53729,,,,1297.0,664.0,30.0,,
Bryce Canyon NP,,National Park,,,2025,7,297345,53030.0,2019335,15909.0,7539.0,,8514.0,7167.0,144.0,,349.0
Canyonlands NP,,National Park,,,2025,7,66388,,396356,,,,1249.0,582.0,3840.0,,34.0
Capitol Reef NP,,National Park,,,2025,7,122287,5818.0,158776,5818.0,,,3618.0,2809.0,13.0,,439.0
Carlsbad Caverns NP,,National Park,,,2025,7,51590,,204289,,,,,,3.0,,
Channel Islands NP,,National Park,,,2025,7,27768,730.0,277436,17520.0,,,,,6993.0,730.0,6566.0
Congaree NP,,National Park,,,2025,7,22633,,78599,,,,488.0,,29.0,,18.0
Crater Lake NP,,National Park,,,2025,7,178886,6500.0,903502,3250.0,3265.0,10669.0,,,589.0,,
Cuyahoga Valley NP,,National Park,,,2025,7,366257,,1139862,,158.0,,,,,,90.0
Death Valley NP,,National Park,,,2025,7,89276,3532.0,522813,5298.0,2323.0,62.0,321.0,230.0,82.0,,0.0
Denali NP & PRES,,National Park,,,2025,7,151455,172326.0,1666908,43082.0,,5873.0,,,1987.0,,
Dry Tortugas NP,,National Park,,,2025,7,8245,267.0,59360,3204.0,,,320.0,,,267.0,1176.0
Everglades NP,,National Park,,,2025,7,70103,300.0,286391,1350.0,,1108.0,,,92.0,,0.0
Gates of the Arctic NP & PRES,,National Park,,,2025,7,3733,,38458,,,,,,1533.0,,
Gateway Arch NP,,National Park,,,2025,7,496115,,1091453,,,,,,,,
Glacier Bay NP & PRES,,National Park,,,2025,7,4597,0.0,142812,0.0,0.0,,218.0,,897.0,0.0,4437.0
Glacier NP,,National Park,,,2025,7,765061,95.0,9168543,855.0,29655.0,,33674.0,32094.0,10043.0,,3248.0
Grand Canyon NP,,National Park,,,2025,7,459269,749.0,7190108,749.0,50737.0,9097.0,9081.0,4901.0,8729.0,,1199.0
Grand Teton NP,,National Park,,,2025,7,787186,172718.0,5789367,172718.0,55359.0,107825.0,0.0,0.0,12601.0,,
Great Basin NP,,National Park,,,2025,7,36941,300.0,274336,150.0,,,5758.0,1824.0,54.0,,18.0
Great Sand Dunes NP & PRES,,National Park,,,2025,7,73599,45.0,517098,45.0,,,3959.0,5730.0,1840.0,,1950.0
