year,state,state_po,Winner,PreviousWinner,Flipped,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1988,OREGON,OR,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,468994,-6.1908809969096605,9.063228953888537,12.27371778743438
1992,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,511500,9.063228953888537,2.9436950146627567,-6.845943304007821
1996,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,526557,2.9436950146627567,-9.50970170370919,-11.374077260391562
2000,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,476483,-9.50970170370919,-2.0603043550347024,-2.3499264401877924
2004,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,466666,-2.0603043550347024,-0.2957147081638688,6.468223526033609
2008,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,465286,-0.2957147081638688,6.783999518575672,73.21475393628864
2012,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,496851,6.783999518575672,62.210401106166636,44.93278669057725
2016,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,805944,62.210401106166636,-10.65136039228532,
2020,OREGON,OR,DEMOCRAT,DEMOCRAT,False,No Flip,720100,-10.65136039228532,,
1988,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,26257,,52.40888144113951,138.4659328940854
1992,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,40018,52.40888144113951,56.46459093407966,138.93997701034536
1996,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,62614,56.46459093407966,52.71185357907178,101.62743156482577
2000,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,95619,52.71185357907178,32.03129085223648,9.71982555768205
2004,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,126247,32.03129085223648,-16.89861937313362,-13.118727573724524
2008,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,104913,-16.89861937313362,4.548530687331407,37.10693622334696
2012,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,109685,4.548530687331407,31.14190636823631,8.771481971099055
2016,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,143843,31.14190636823631,-17.05818148954068,
2020,SOUTH CAROLINA,SC,REPUBLICAN,REPUBLICAN,False,No Flip,119306,-17.05818148954068,,
1980,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,1934416,,11.837888024085823,19.398878007626074
1984,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,2163410,11.837888024085823,6.760669498615611,16.90608807392034
1988,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,2309671,6.760669498615611,9.502955182794432,-8.963700890732923
1992,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,2529158,9.502955182794432,-16.864070967491948,-20.690601378008015
1996,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,2102639,-16.864070967491948,-4.6027396999675165,-15.189340633365974
2000,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,2005860,-4.6027396999675165,-11.097384662937593,-16.965690526756603
2004,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,1783262,-11.097384662937593,-6.6008247806547775,-7.135575142631874
2008,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,1665552,-6.6008247806547775,-0.5725429167026908,16.11639864741539
2012,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,1656016,-0.5725429167026908,16.785043139679807,-2.620204152616883
2016,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,1933979,16.785043139679807,-16.61620937972956,
2020,SOUTH DAKOTA,SD,REPUBLICAN,REPUBLICAN,False,No Flip,1612625,-16.61620937972956,,
1980,TENNESSEE,TN,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,11900791,,13.691182376028618,50.390179946862354
1984,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,13530150,13.691182376028618,32.27954605085679,37.42390143494344
1988,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,17897621,32.27954605085679,3.889002901558816,12.54923210185309
1992,TENNESSEE,TN,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,18593660,3.889002901558816,8.33604034923732,13.53598484644766
1996,TENNESSEE,TN,DEMOCRAT,DEMOCRAT,False,No Flip,20143635,8.33604034923732,4.799828829305137,1.3412723175335535
2000,TENNESSEE,TN,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,21110495,4.799828829305137,-3.3001547334631427,-3.9661078529897096
2004,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,20413816,-3.3001547334631427,-0.6886806464798154,1.774322840962219
2008,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,20273230,-0.6886806464798154,2.48008334143104,11.12199190755494
2012,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,20776023,2.48008334143104,8.432768870153831,8.972188758166084
2016,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,22528017,8.432768870153831,0.4974694399422728,
2020,TENNESSEE,TN,REPUBLICAN,REPUBLICAN,False,No Flip,22640087,0.4974694399422728,,
1980,TEXAS,TX,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,323475,,9.395471056495865,30.108663729809106
1984,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,353867,9.395471056495865,18.934232352833128,33.38881557195217
1988,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,420869,18.934232352833128,12.153425412658095,20.06182446319401
1992,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,472019,12.153425412658095,7.051411066079967,-1.8162404479480698
1996,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,505303,7.051411066079967,-8.283544724650358,7.349055912986861
2000,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,463446,-8.283544724650358,17.044488462517748,14.055359200424643
2004,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,542438,17.044488462517748,-2.5538402545544376,-16.344540758575175
2008,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,528585,-2.5538402545544376,-14.152123121163104,8.306705638639007
2012,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,453779,-14.152123121163104,26.16119300364274,20.976730963751077
2016,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,572493,26.16119300364274,-4.109395224046407,
2020,TEXAS,TX,REPUBLICAN,REPUBLICAN,False,No Flip,548967,-4.109395224046407,,
1980,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,2532040,,22.989802688741094,79.14795974787128
1984,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,3114151,22.989802688741094,45.66082376866119,95.59867199760063
1988,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,4536098,45.66082376866119,34.28365083823145,38.90209162147731
1992,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,6091238,34.28365083823145,3.439317261942482,-2.0609931839800053
1996,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,6300735,3.439317261942482,-5.317427252534824,-5.6549434312028675
2000,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,5965698,-5.317427252534824,-0.3564712796390297,4.85609563206183
2004,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,5944432,-0.3564712796390297,5.2312146896457055,18.417318929714394
2008,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,6255398,5.2312146896457055,12.53060157003599,69.23963910849477
2012,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,7039237,12.53060157003599,50.394325407711094,17.486596913841655
2016,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,10586613,50.394325407711094,-21.880964195064088,
2020,UTAH,UT,REPUBLICAN,REPUBLICAN,False,No Flip,8270160,-21.880964195064088,,
1980,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1769724,,9.856282674586545,10.798124453304583
1984,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1944153,9.856282674586545,0.8573399315794591,-4.80831498344009
1988,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1960821,0.8573399315794591,-5.617493896689193,-19.320478513847007
1992,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1850672,-5.617493896689193,-14.518564067538712,-22.70153760363803
1996,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1581981,-14.518564067538712,-9.572807764442178,-19.596885171187264
2000,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1430541,-9.572807764442178,-11.085246770277818,-24.025945429036987
2004,VIRGINIA,VA,REPUBLICAN,REPUBLICAN,False,No Flip,1271962,-11.085246770277818,-14.554051143037292,-3.993830004355476
2008,VIRGINIA,VA,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,1086840,-14.554051143037292,12.358948879319863,33.25816127488867
2012,VIRGINIA,VA,DEMOCRAT,DEMOCRAT,False,No Flip,1221162,12.358948879319863,18.600398636708317,37.34680574731281
2016,VIRGINIA,VA,DEMOCRAT,DEMOCRAT,False,No Flip,1448303,18.600398636708317,15.806360961760074,
2020,VIRGINIA,VA,DEMOCRAT,DEMOCRAT,False,No Flip,1677227,15.806360961760074,,
1980,WASHINGTON,WA,REPUBLICAN,REPUBLICAN,False,No Flip,5302555,,5.054940495666711,11.795653227547852
1984,WASHINGTON,WA,REPUBLICAN,REPUBLICAN,False,No Flip,5570596,5.054940495666711,6.4163690922838414,9.026556583891562
1988,WASHINGTON,WA,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,5928026,6.4163690922838414,2.4528063810786254,5.08088189896603
1992,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,6073429,2.4528063810786254,2.5651571789182026,1.6893092847549547
1996,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,6229222,2.5651571789182026,-0.8539429161458686,-6.249143151424046
2000,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,6176028,-0.8539429161458686,-5.441668982070677,-8.492999060237421
2004,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,5839949,-5.441668982070677,-3.2269288653034467,-10.879170348919143
2008,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,5651498,-3.2269288653034467,-7.907407912026157,8.61120361362598
2012,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,5204611,-7.907407912026157,17.936960130161506,-8.673155400086577
2016,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,6138160,17.936960130161506,-22.562999335305694,
2020,WASHINGTON,WA,DEMOCRAT,DEMOCRAT,False,No Flip,4753207,-22.562999335305694,,
1984,WEST VIRGINIA,WV,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,231295,,73.28606325255626,307.31965671545
1988,WEST VIRGINIA,WV,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,400802,73.28606325255626,135.05621229434982,209.38892520496407
1992,WEST VIRGINIA,WV,DEMOCRAT,DEMOCRAT,False,No Flip,942110,135.05621229434982,31.623377312628037,20.466930613198034
1996,WEST VIRGINIA,WV,DEMOCRAT,DEMOCRAT,False,No Flip,1240037,31.623377312628037,-8.476037408561195,-6.923583731775746
2000,WEST VIRGINIA,WV,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1134931,-8.476037408561195,1.696226466631011,7.077346552345473
2004,WEST VIRGINIA,WV,REPUBLICAN,REPUBLICAN,False,No Flip,1154182,1.696226466631011,5.29136652624976,-2.0436118393806173
2008,WEST VIRGINIA,WV,REPUBLICAN,REPUBLICAN,False,No Flip,1215254,5.29136652624976,-6.9663625875742845,-1.2279737404690707
2012,WEST VIRGINIA,WV,REPUBLICAN,REPUBLICAN,False,No Flip,1130595,-6.9663625875742845,6.168079639481866,-6.529393814761255
2016,WEST VIRGINIA,WV,REPUBLICAN,REPUBLICAN,False,No Flip,1200331,6.168079639481866,-11.959784426129126,
2020,WEST VIRGINIA,WV,REPUBLICAN,REPUBLICAN,False,No Flip,1056774,-11.959784426129126,,
1980,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,5507882,,-18.253840586998777,-22.00584544113327
1984,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,4502482,-18.253840586998777,-4.589824012622371,37.680839146053216
1988,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,4295826,-4.589824012622371,44.304145465854525,86.15500255364161
1992,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,6199055,44.304145465854525,29.001839796549632,24.80615190541139
1996,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,7996895,29.001839796549632,-3.252424847393895,-2.3809491058717165
2000,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,7736802,-3.252424847393895,0.9007726965224132,0.5214557642809006
2004,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,7806493,0.9007726965224132,-0.37593065157427286,7.297758417255995
2008,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,7777146,-0.37593065157427286,7.702645674904393,32.16937164353093
2012,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,8376192,7.702645674904393,22.71692196167423,12.681490586653219
2016,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,10279005,22.71692196167423,-8.1777078618018,
2020,WYOMING,WY,REPUBLICAN,REPUBLICAN,False,No Flip,9438418,-8.1777078618018,,
