State,Year,Decade,StateCategory,RepublicanPct,TotalVisits,YoYChange
CO,1981,1980,Swing,58.333333333333336,3946492,7.424222421534429
CO,1982,1980,Swing,58.333333333333336,3586717,-9.116324067044859
CO,1983,1980,Swing,58.333333333333336,3748564,4.512399500713327
CO,1984,1980,Swing,58.333333333333336,3379510,-9.8452100591053
CO,1985,1980,Swing,58.333333333333336,3462251,2.448313512905717
CO,1986,1980,Swing,58.333333333333336,3698997,6.837921340769343
CO,1987,1980,Swing,58.333333333333336,3923971,6.082027100860044
CO,1988,1980,Swing,58.333333333333336,4018786,2.4163022611533065
CO,1989,1980,Swing,58.333333333333336,3809767,-5.201048276768158
CO,1990,1990,Swing,58.333333333333336,3974039,4.311864741334575
CO,1991,1990,Swing,58.333333333333336,4197755,5.629436449919088
CO,1992,1990,Swing,58.333333333333336,4317930,2.8628397798346974
CO,1993,1990,Swing,58.333333333333336,4242685,-1.7426174115837916
CO,1994,1990,Swing,58.333333333333336,4380228,3.241885739808635
CO,1995,1990,Swing,58.333333333333336,4234526,-3.3263565275597524
CO,1996,1990,Swing,58.333333333333336,4259291,0.5848352330343467
CO,1997,1990,Swing,58.333333333333336,4302307,1.009933343366302
CO,1998,1990,Swing,58.333333333333336,4307276,0.11549617449428877
CO,1999,1990,Swing,58.333333333333336,4509633,4.698027245061612
CO,2000,2000,Swing,58.333333333333336,4303893,-4.562233778225412
CO,2001,2000,Swing,58.333333333333336,4314794,0.2532823190539356
CO,2002,2000,Swing,58.333333333333336,3966662,-8.068334200891167
CO,2003,2000,Swing,58.333333333333336,4129756,4.1116182825761305
CO,2004,2000,Swing,58.333333333333336,3864758,-6.41679556855175
CO,2005,2000,Swing,58.333333333333336,3961565,2.504865763910703
CO,2006,2000,Swing,58.333333333333336,3924868,-0.9263258333512134
CO,2007,2000,Swing,58.333333333333336,4161144,6.019973155785112
CO,2008,2000,Swing,58.333333333333336,3931865,-5.509999173304264
CO,2009,2000,Swing,58.333333333333336,4018698,2.2084430670941146
CO,2010,2010,Swing,58.333333333333336,4155164,3.3957764430171165
CO,2011,2010,Swing,58.333333333333336,4372535,5.231345862642245
CO,2012,2010,Swing,58.333333333333336,4184588,-4.2983532435989655
CO,2013,2010,Swing,58.333333333333336,3885635,-7.14414417859058
CO,2014,2010,Swing,58.333333333333336,4404774,13.360467465420712
CO,2015,2010,Swing,58.333333333333336,5231611,18.77138304939141
CO,2016,2010,Swing,58.333333333333336,5753815,9.981705444078315
CO,2017,2010,Swing,58.333333333333336,5863313,1.903050410901289
CO,2018,2010,Swing,58.333333333333336,5925225,1.0559217971136796
CO,2019,2010,Swing,58.333333333333336,6205921,4.737305334396584
CO,2020,2020,Swing,58.333333333333336,4412567,-28.897467434728867
CO,2021,2020,Swing,58.333333333333336,5917578,34.1073801258995
CO,2022,2020,Swing,58.333333333333336,5610769,-5.184705634636333
CO,2023,2020,Swing,58.333333333333336,5511399,-1.7710584770109055
CO,2024,2020,Swing,58.333333333333336,5428403,-1.5058971415424651
FL,1980,1980,Swing,66.66666666666666,1068742,0.7086170471399952
FL,1981,1980,Swing,66.66666666666666,948092,-11.288973391145852
FL,1982,1980,Swing,66.66666666666666,987212,4.126181847331272
FL,1983,1980,Swing,66.66666666666666,967025,-2.044849535864637
FL,1984,1980,Swing,66.66666666666666,990449,2.422274501693338
FL,1985,1980,Swing,66.66666666666666,1182155,19.355464037017555
FL,1986,1980,Swing,66.66666666666666,1364054,15.387068531622333
FL,1987,1980,Swing,66.66666666666666,1448709,6.206132601788492
FL,1988,1980,Swing,66.66666666666666,1629753,12.496919671238322
FL,1989,1980,Swing,66.66666666666666,1586704,-2.641443212560431
FL,1990,1990,Swing,66.66666666666666,1602845,1.0172659802962618
FL,1991,1990,Swing,66.66666666666666,1862647,16.208803720883804
FL,1992,1990,Swing,66.66666666666666,1406127,-24.50920652168661
FL,1993,1990,Swing,66.66666666666666,1116802,-20.576021938274422
FL,1994,1990,Swing,66.66666666666666,1028626,-7.895401333450335
FL,1995,1990,Swing,66.66666666666666,1540436,49.756665688014884
FL,1996,1990,Swing,66.66666666666666,1369995,-11.064464865791242
FL,1997,1990,Swing,66.66666666666666,1500228,9.506093087930978
FL,1998,1990,Swing,66.66666666666666,1650181,9.995347373865838
FL,1999,1990,Swing,66.66666666666666,1668137,1.0881230604400365
FL,2000,2000,Swing,66.66666666666666,1549040,-7.1395215141202435
FL,2001,2000,Swing,66.66666666666666,1686407,8.86787946082735
FL,2002,2000,Swing,66.66666666666666,1637630,-2.892362282651815
FL,2003,2000,Swing,66.66666666666666,1670130,1.9845752703602157
FL,2004,2000,Swing,66.66666666666666,1789534,7.14938358091885
FL,2005,2000,Swing,66.66666666666666,1909788,6.719849972115647
FL,2006,2000,Swing,66.66666666666666,1671919,-12.455256813845306
FL,2007,2000,Swing,66.66666666666666,1695863,1.4321267956162949
FL,2008,2000,Swing,66.66666666666666,1579205,-6.8789754832790155
FL,2009,2000,Swing,66.66666666666666,1394789,-11.677774576448275
FL,2010,2010,Swing,66.66666666666666,1441939,3.38043962205036
FL,2011,2010,Swing,66.66666666666666,1492218,3.4869020118049376
FL,2012,2010,Swing,66.66666666666666,1703555,14.162608948558455
FL,2013,2010,Swing,66.66666666666666,1599582,-6.103295755053403
FL,2014,2010,Swing,66.66666666666666,1709700,6.884173490324347
FL,2015,2010,Swing,66.66666666666666,1670018,-2.3209919868982865
FL,2016,2010,Swing,66.66666666666666,1530639,-8.345957947758647
FL,2017,2010,Swing,66.66666666666666,1528041,-0.169733033066582
FL,2018,2010,Swing,66.66666666666666,1133642,-25.810760313368554
FL,2019,2010,Swing,66.66666666666666,1914608,68.89000231113526
FL,2020,2020,Swing,66.66666666666666,1161024,-39.35970182930396
FL,2021,2020,Swing,66.66666666666666,1738940,49.77640427760322
FL,2022,2020,Swing,66.66666666666666,1942813,11.723981275949717
FL,2023,2020,Swing,66.66666666666666,1473324,-24.16542405264943
FL,2024,2020,Swing,66.66666666666666,1346779,-8.589081559792687
HI,1980,1980,Blue,8.333333333333332,2944970,-0.26770520255683017
HI,1981,1980,Blue,8.333333333333332,3013568,2.3293276332186745
HI,1982,1980,Blue,8.333333333333332,3421749,13.544774831694523
HI,1983,1980,Blue,8.333333333333332,3710687,8.444161158518641
HI,1984,1980,Blue,8.333333333333332,3624400,-2.325364548397642
HI,1985,1980,Blue,8.333333333333332,2520069,-30.469346650480077
HI,1986,1980,Blue,8.333333333333332,2811572,11.567262642411775
HI,1987,1980,Blue,8.333333333333332,3232481,14.970592963651653
HI,1988,1980,Blue,8.333333333333332,3277786,1.401555028475032
HI,1989,1980,Blue,8.333333333333332,3622100,10.504468565061904
HI,1990,1990,Blue,8.333333333333332,3658062,0.9928494519753734
HI,1991,1990,Blue,8.333333333333332,3837739,4.911808493131063
HI,1992,1990,Blue,8.333333333333332,3705576,-3.443772492084532
HI,1993,1990,Blue,8.333333333333332,3841429,3.6661776738623093
HI,1994,1990,Blue,8.333333333333332,4055202,5.564934299189182
HI,1995,1990,Blue,8.333333333333332,4100394,1.1144204407080092
HI,1996,1990,Blue,8.333333333333332,4133725,0.8128731043894807
HI,1997,1990,Blue,8.333333333333332,4680605,13.229714119831387
HI,1998,1990,Blue,8.333333333333332,4159260,-11.138410525989697
HI,1999,1990,Blue,8.333333333333332,4764174,14.543789039396431
HI,2000,2000,Blue,8.333333333333332,4322988,-9.260493004663557
HI,2001,2000,Blue,8.333333333333332,4071711,-5.8125768565630995
HI,2002,2000,Blue,8.333333333333332,3949529,-3.0007532459941286
HI,2003,2000,Blue,8.333333333333332,3903528,-1.1647211604219136
HI,2004,2000,Blue,8.333333333333332,4089862,4.773476711323705
HI,2005,2000,Blue,8.333333333333332,4202771,2.7607043954050283
HI,2006,2000,Blue,8.333333333333332,4797268,14.145357907913612
HI,2007,2000,Blue,8.333333333333332,4623909,-3.6137026324149493
HI,2008,2000,Blue,8.333333333333332,4314869,-6.683522534721163
HI,2009,2000,Blue,8.333333333333332,4191336,-2.8629606136362424
HI,2010,2010,Blue,8.333333333333332,4296418,2.507124220057757
HI,2011,2010,Blue,8.333333333333332,4196940,-2.3153706180357685
HI,2012,2010,Blue,8.333333333333332,4469818,6.501832287333152
HI,2013,2010,Blue,8.333333333333332,4252943,-4.851987262121187
HI,2014,2010,Blue,8.333333333333332,4717686,10.927562396204229
HI,2015,2010,Blue,8.333333333333332,4933650,4.5777527372529665
HI,2016,2010,Blue,8.333333333333332,5035715,2.068752343599566
HI,2017,2010,Blue,8.333333333333332,5014423,-0.42281979818158894
HI,2018,2010,Blue,8.333333333333332,4037391,-19.484435198227192
HI,2019,2010,Blue,8.333333333333332,4232183,4.824699911403181
HI,2020,2020,Blue,8.333333333333332,2795009,-33.958219670557725
HI,2021,2020,Blue,8.333333333333332,4010794,43.49842880649042
HI,2022,2020,Blue,8.333333333333332,4579493,14.179212395351145
HI,2023,2020,Blue,8.333333333333332,4310545,-5.872877194047463
HI,2024,2020,Blue,8.333333333333332,4068009,-5.626573901907996
IN,1980,1980,Red,91.66666666666666,1634624,-18.949261475284253
IN,1981,1980,Red,91.66666666666666,1364711,-16.512237676676715
IN,1982,1980,Red,91.66666666666666,1414268,3.6313182791081777
IN,1983,1980,Red,91.66666666666666,1862855,31.71867001162439
IN,1984,1980,Red,91.66666666666666,1913618,2.725010803309973
IN,1985,1980,Red,91.66666666666666,2144342,12.056951805428252
IN,1986,1980,Red,91.66666666666666,2020599,-5.770674640519096
IN,1987,1980,Red,91.66666666666666,1915024,-5.224935773995731
IN,1988,1980,Red,91.66666666666666,2248204,17.398215374846476
IN,1989,1980,Red,91.66666666666666,2142306,-4.710337673983322
IN,1990,1990,Red,91.66666666666666,2268536,5.892248819729768
IN,1991,1990,Red,91.66666666666666,2401289,5.851923883949825
IN,1992,1990,Red,91.66666666666666,2306975,-3.927640529732156
IN,1993,1990,Red,91.66666666666666,2086415,-9.560571744383878
IN,1994,1990,Red,91.66666666666666,1849791,-11.341176132265153
IN,1995,1990,Red,91.66666666666666,1842127,-0.4143170769022013
IN,1996,1990,Red,91.66666666666666,1644426,-10.732213359882353
IN,1997,1990,Red,91.66666666666666,1602042,-2.5774343144659593
IN,1998,1990,Red,91.66666666666666,2227049,39.01314697117804
IN,1999,1990,Red,91.66666666666666,1866307,-16.198206685169477
IN,2000,2000,Red,91.66666666666666,1925132,3.151946598282062
IN,2001,2000,Red,91.66666666666666,1840308,-4.406139423166827
IN,2002,2000,Red,91.66666666666666,2092871,13.723952729651776
IN,2003,2000,Red,91.66666666666666,2024435,-3.269957871268702
IN,2004,2000,Red,91.66666666666666,1864803,-7.88526181379002
IN,2005,2000,Red,91.66666666666666,2178688,16.832072878475635
IN,2006,2000,Red,91.66666666666666,1984305,-8.92202095940309
IN,2007,2000,Red,91.66666666666666,2018037,1.6999402813579565
IN,2008,2000,Red,91.66666666666666,1863553,-7.655161922204598
IN,2009,2000,Red,91.66666666666666,1966015,5.498206919792461
IN,2010,2010,Red,91.66666666666666,2165606,10.152058860181636
IN,2011,2010,Red,91.66666666666666,1846098,-14.753745602847424
IN,2012,2010,Red,91.66666666666666,1894634,2.6291128639974692
IN,2013,2010,Red,91.66666666666666,1686948,-10.961800537729188
IN,2014,2010,Red,91.66666666666666,1558625,-7.606814199370699
IN,2015,2010,Red,91.66666666666666,1645448,5.57048680728206
IN,2016,2010,Red,91.66666666666666,1703476,3.5265775642864434
IN,2017,2010,Red,91.66666666666666,2163724,27.01816755856848
IN,2018,2010,Red,91.66666666666666,1761780,-18.57649127153001
IN,2019,2010,Red,91.66666666666666,2138339,21.373781062334686
IN,2020,2020,Red,91.66666666666666,2297049,7.422115950744948
IN,2021,2020,Red,91.66666666666666,3181153,38.48868700667683
IN,2022,2020,Red,91.66666666666666,2838123,-10.783197161532312
IN,2023,2020,Red,91.66666666666666,2769835,-2.4060972692163096
IN,2024,2020,Red,91.66666666666666,2709152,-2.190852523706286
KY,1980,1980,Red,75.0,1668875,7.116633012365869
KY,1981,1980,Red,75.0,1577405,-5.4809377574713505
KY,1982,1980,Red,75.0,1699764,7.756980610559748
KY,1983,1980,Red,75.0,1671591,-1.6574653893128695
KY,1984,1980,Red,75.0,1674538,0.17629910665946394
KY,1985,1980,Red,75.0,1681027,0.38750986839355095
KY,1986,1980,Red,75.0,1819761,8.252931095098413
KY,1987,1980,Red,75.0,1809428,-0.5678218183596637
KY,1988,1980,Red,75.0,1908698,5.486264167460656
KY,1989,1980,Red,75.0,1845928,-3.2886292121645226
KY,1990,1990,Red,75.0,2097626,13.635309719555691
KY,1991,1990,Red,75.0,2331283,11.139116315301202
KY,1992,1990,Red,75.0,2565946,10.065830703522481
KY,1993,1990,Red,75.0,2569322,0.13156940948874216
KY,1994,1990,Red,75.0,2102188,-18.18121667895266
KY,1995,1990,Red,75.0,2027962,-3.530892574783987
KY,1996,1990,Red,75.0,1989082,-1.9171956870986735
KY,1997,1990,Red,75.0,2089911,5.06912233884777
